OBJECTID,Shape,Num,TIMESTAMP,Date,Time,RECORD,T109_C,batt_volt,Lat_DD,Long_DD,DetDate,DetTime,DetDur,TagType,TagID,Antenna
178,Point,178,9/16/25 4:33:17 PM,9/16/2025,16:33:17,15463,-136.6,12.83,1266639.248,2804172.36,9/16/2025,2:09:25 PM,00:00.0,HA,230000111664,M4 Backpack
179,Point,179,9/16/25 4:33:19 PM,9/16/2025,16:33:19,15471,-135.8,13.03,1266639.248,2804172.36,9/16/2025,2:09:27 PM,00:00.0,HA,230000298012,M4 Backpack
180,Point,180,9/16/25 4:34:09 PM,9/16/2025,16:34:09,15559,NAN,12.78,1266639.248,2804172.36,9/16/2025,2:10:17 PM,00:00.0,HA,209000133110,M4 Backpack
181,Point,181,9/16/25 4:36:45 PM,9/16/2025,16:36:45,15569,-121.3,12.82,1266529.599,2804218.239,9/16/2025,2:12:53 PM,00:00.0,HA,226001370222,M4 Backpack
182,Point,182,9/16/25 4:37:26 PM,9/16/2025,16:37:26,15709,-120.2,12.82,1266523.407,2804218.19,9/16/2025,2:13:33 PM,00:00.7,HA,226001370222,M4 Backpack
183,Point,183,9/16/25 4:38:18 PM,9/16/2025,16:38:18,15746,NAN,13.02,1266535.792,2804218.288,9/16/2025,2:14:25 PM,00:00.0,HA,226001370230,M4 Backpack
184,Point,184,9/16/25 4:39:33 PM,9/16/2025,16:39:33,15921,-117.9,12.99,1266535.792,2804218.288,9/16/2025,2:15:41 PM,00:00.0,HA,226001370222,M4 Backpack
185,Point,185,9/16/25 4:39:44 PM,9/16/2025,16:39:44,15954,-118.4,13.01,1266535.792,2804218.288,9/16/2025,2:15:51 PM,00:00.0,HA,226001370205,M4 Backpack
186,Point,186,9/16/25 4:41:16 PM,9/16/2025,16:41:16,16107,-122.7,12.81,1266529.968,2804171.498,9/16/2025,2:17:24 PM,00:00.0,HA,226001370230,M4 Backpack
187,Point,187,9/16/25 4:51:17 PM,9/16/2025,16:51:17,16112,-123.7,12.72,1266496.425,2804591.09,9/16/2025,2:27:24 PM,00:00.0,HA,226001370291,M4 Backpack
188,Point,188,9/16/25 5:10:13 PM,9/16/2025,17:10:13,16211,-144.2,12.98,1266525.889,2805477.777,9/16/2025,2:46:20 PM,00:00.0,HA,230000142503,M4 Backpack
