Point,E,N,Elevation,Code,SurveyID,Year,Period,TagID,RiffleID,Site,TagSize_mm,A_Axis_mm,B_Axis_mm,B_Axis_ft,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class1,Size_Class2,Distance_ft,Distance_m,Field_Movement,Moved_1PD,Moved_12PD,Hiding,Embedded,Buried,Notes
1232,2802830.85,1266310.52,7447.18,PITRCK,Relocate 2022,2021,Before,228000607555,3,Riffle 3,23,73,52,0.171,40,64,263,Gravel,VCG2,VCG,0.15,0.045,0,0,0,0,1,1,buried
1249,2802869.91,1266234.56,7447.60,PITRCK,Relocate 2022,2021,Before,230000111722,3,Riffle 3,32,81,59,0.194,42,64,385,Gravel,VCG2,VCG,0.15,0.044,0,0,0,0,1,1,buried
1250,2802850.39,1266359.33,7447.41,PITRCK,Relocate 2022,2021,Before,228000607536,3,Riffle 3,23,70,68,0.223,51,64,373,Gravel,VCG2,VCG,0.03,0.010,0,0,0,0,1,1,buried
1253,2802857.35,1266346.60,7447.17,PITRCK,Relocate 2022,2021,Before,230000111573,3,Riffle 3,32,137,93,0.305,55,90,1165,Cobble,SC1,SC,0.09,0.029,0,0,0,0,1,1,buried
1274,2802898.75,1266250.40,7447.73,PITRCK,Relocate 2022,2021,Before,230000111563,3,Riffle 3,32,114,62,0.203,54,90,634,Cobble,SC1,SC,0.32,0.096,0,1,1,0,1,1,buried
1276,2802867.15,1266370.25,7447.68,PITRCK,Relocate 2022,2021,Before,228000607574,3,Riffle 3,23,62,43,0.141,32,64,140,Gravel,VCG2,VCG,0.11,0.033,0,0,0,0,1,1,buried
1283,2802879.04,1266336.51,7447.54,PITRCK,Relocate 2022,2021,Before,228000607542,3,Riffle 3,23,119,64,0.210,45,64,469,Gravel,VCG2,VCG,0.08,0.023,0,0,0,0,1,1,buried
1299,2802920.58,1266257.88,7448.08,PITRCK,Relocate 2022,2021,Before,228000607518,3,Riffle 3,23,86,66,0.217,38,64,NA,Gravel,VCG2,VCG,0.13,0.040,0,0,0,0,1,1,buried
898,2804543.84,1266487.57,7454.36,PITRCK,Relocate 2020,2020,Before,228000607545,2,Riffle 2,23,71,65,0.213,55,64,387,Gravel,VCG2,VCG,NA,NA,0,NA,NA,0,1,1,"buried, exlcude from analysis, did not find rock"
50535,2804577.44,1266555.44,7455.23,PITRCK,Relocate 2023,2023,After,230000111671,2A,Riffle 2,32,110,93,0.305,42,90,657,Cobble,SC1,SC,2.14,0.652,1,1,1,0,0,0,DeployID Busted
1198,2804543.81,1266487.34,7454.31,PITRCK,Relocate 2022,2021,Before,228000607545,2,Riffle 2,23,71,65,0.213,55,64,387,Gravel,VCG2,VCG,0.23,0.069,0,1,0,0,0,1,"detected tag, but did not find rock, possibly buried"
718,2806334.55,1266661.19,7459.10,PITRCK,Relocate 2020,2020,Before,230000111631,1,Riffle 1,32,97,56,0.184,50,64,363,Gravel,VCG2,VCG,0.07,0.023,0,0,0,1,0,0,embedded in sand
801,2804501.80,1266612.98,7453.60,PITRCK,Relocate 2020,2020,Before,228000607570,2,Riffle 2,23,75,63,0.207,48,64,338,Gravel,VCG2,VCG,0.22,0.067,0,1,0,1,1,0,first survey where embeddedness was recorded
947,2802864.30,1266244.28,7447.22,PITRCK,Relocate 2020,2020,Before,230000111543,3,Riffle 3,32,109,88,0.289,33,90,649,Cobble,SC1,SC,0.21,0.065,1,0,0,0,0,0,moved ~0.2 ft
812,2804488.16,1266563.81,7453.42,PITRCK,Relocate 2020,2020,Before,230000111547,2,Riffle 2,32,168,111,0.364,53,90,1488,Cobble,SC1,SC,0.31,0.094,1,0,0,0,0,0,moved ~0.25 ft
833,2804510.96,1266582.03,7453.99,PITRCK,Relocate 2020,2020,Before,230000111739,2,Riffle 2,32,99,86,0.282,33,90,557,Cobble,SC1,SC,0.30,0.092,1,1,1,1,0,0,moved ~0.25 ft
918,2802843.88,1266251.18,7446.91,PITRCK,Relocate 2020,2020,Before,230000111688,3,Riffle 3,32,116,90,0.295,40,90,655,Cobble,SC1,SC,0.34,0.105,1,1,1,0,0,0,moved ~0.25 ft
938,2802842.58,1266285.28,7447.58,PITRCK,Relocate 2020,2020,Before,230000111692,3,Riffle 3,32,111,81,0.266,77,90,969,Cobble,SC1,SC,0.26,0.079,1,0,0,0,0,0,moved ~0.25 ft
954,2802855.44,1266340.70,7447.50,PITRCK,Relocate 2020,2020,Before,230000111749,3,Riffle 3,32,157,125,0.410,80,128,1961,Cobble,SC2,SC,0.23,0.070,1,0,0,1,0,0,moved ~0.25 ft
977,2802869.68,1266366.09,7447.86,PITRCK,Relocate 2020,2020,Before,230000111699,3,Riffle 3,32,185,124,0.407,79,128,3653,Cobble,SC2,SC,0.28,0.086,1,0,0,0,0,0,moved ~0.25 ft
858,2804532.84,1266570.94,7453.82,PITRCK,Relocate 2020,2020,Before,230000111655,2,Riffle 2,32,107,68,0.223,56,90,697,Cobble,SC1,SC,0.27,0.083,1,1,1,0,1,0,"moved ~0.25 ft, buried"
949,2802870.00,1266234.67,7447.61,PITRCK,Relocate 2020,2020,Before,230000111722,3,Riffle 3,32,81,59,0.194,42,64,385,Gravel,VCG2,VCG,0.27,0.081,1,1,0,0,1,0,"moved ~0.25 ft, buried"
732,2806312.11,1266616.62,7459.05,PITRCK,Relocate 2020,2020,Before,230000111651,1,Riffle 1,32,117,111,0.364,49,90,767,Cobble,SC1,SC,0.53,0.161,1,1,1,0,0,0,"moved ~0.25 ft, flipped"
956,2802863.25,1266333.73,7447.35,PITRCK,Relocate 2020,2020,Before,228000607500,3,Riffle 3,23,102,64,0.210,55,64,373,Gravel,VCG2,VCG,0.31,0.096,1,1,0,1,0,0,moved ~0.4 ft
978,2802870.76,1266361.15,7447.64,PITRCK,Relocate 2020,2020,Before,230000111612,3,Riffle 3,32,135,99,0.325,82,128,1821,Cobble,SC2,SC,0.36,0.109,1,1,1,0,0,0,moved ~0.4 ft
993,2802902.90,1266288.05,7447.89,PITRCK,Relocate 2020,2020,Before,230000111691,3,Riffle 3,32,145,105,0.344,63,128,1716,Cobble,SC2,SC,0.38,0.117,1,1,1,0,0,0,moved ~0.4 ft
757,2806288.95,1266651.89,7458.94,PITRCK,Relocate 2020,2020,Before,230000111720,1,Riffle 1,32,119,100,0.328,43,90,741,Cobble,SC1,SC,0.78,0.237,1,1,1,1,0,0,moved ~0.5 ft
797,2806222.28,1266619.93,7458.17,PITRCK,Relocate 2020,2020,Before,230000111503,1,Riffle 1,32,156,92,0.302,43,90,895,Cobble,SC1,SC,0.85,0.258,1,1,1,0,0,0,moved ~0.5 ft
821,2804479.25,1266525.67,7453.90,PITRCK,Relocate 2020,2020,Before,230000111673,2,Riffle 2,32,139,96,0.315,75,128,1437,Cobble,SC2,SC,0.43,0.132,1,1,1,0,0,0,moved ~0.5 ft
843,2804506.35,1266521.90,7453.55,PITRCK,Relocate 2020,2020,Before,230000111711,2,Riffle 2,32,155,106,0.348,45,128,990,Cobble,SC2,SC,0.41,0.126,1,1,1,0,0,0,moved ~0.5 ft
880,2804552.85,1266581.72,7454.32,PITRCK,Relocate 2020,2020,Before,230000111572,2,Riffle 2,32,162,104,0.341,67,128,1710,Cobble,SC2,SC,0.51,0.155,1,1,1,0,0,0,moved ~0.5 ft
883,2804551.87,1266562.28,7453.74,PITRCK,Relocate 2020,2020,Before,230000111727,2,Riffle 2,32,165,125,0.410,60,128,2087,Cobble,SC2,SC,0.57,0.174,1,1,1,0,0,0,moved ~0.5 ft
890,2804548.20,1266526.18,7453.72,PITRCK,Relocate 2020,2020,Before,230000111593,2,Riffle 2,32,165,66,0.217,54,90,1192,Cobble,SC1,SC,0.53,0.162,1,1,1,0,0,0,moved ~0.5 ft
905,2802808.44,1266311.97,7447.46,PITRCK,Relocate 2020,2020,Before,230000111616,3,Riffle 3,32,153,135,0.443,74,128,2113,Cobble,SC2,SC,0.45,0.138,1,1,1,0,0,0,moved ~0.5 ft
919,2802843.60,1266247.62,7446.93,PITRCK,Relocate 2020,2020,Before,230000111579,3,Riffle 3,32,121,89,0.292,53,90,906,Cobble,SC1,SC,0.50,0.151,1,1,1,1,0,0,moved ~0.5 ft
969,2802888.95,1266271.65,7447.44,PITRCK,Relocate 2020,2020,Before,228000607519,3,Riffle 3,23,81,64,0.210,41,64,437,Gravel,VCG2,VCG,0.68,0.208,1,1,1,0,0,0,moved ~0.5 ft
984,2802881.04,1266332.31,7447.74,PITRCK,Relocate 2020,2020,Before,230000111531,3,Riffle 3,32,123,113,0.371,67,128,1519,Cobble,SC2,SC,0.50,0.153,1,1,1,0,0,0,moved ~0.5 ft
994,2802904.64,1266282.21,7447.78,PITRCK,Relocate 2020,2020,Before,230000111613,3,Riffle 3,32,136,112,0.367,43,90,1002,Cobble,SC1,SC,0.57,0.173,1,1,1,0,0,0,moved ~0.5 ft
924,2802859.54,1266228.05,7447.51,PITRCK,Relocate 2020,2020,Before,228000607562,3,Riffle 3,23,74,50,0.164,36,45,173,Gravel,VCG1,VCG,0.58,0.178,1,1,1,0,1,0,"moved ~0.5 ft, buried"
756,2806289.50,1266648.08,7458.94,PITRCK,Relocate 2020,2020,Before,230000111560,1,Riffle 1,32,91,75,0.246,50,64,337,Gravel,VCG2,VCG,0.75,0.228,1,1,1,1,0,0,moved ~0.5-1.0 ft
788,2806219.92,1266572.76,7458.25,PITRCK,Relocate 2020,2020,Before,230000111516,1,Riffle 1,32,126,96,0.315,79,128,1425,Cobble,SC2,SC,0.75,0.230,1,1,1,0,0,0,moved ~0.5-1.0 ft
945,2802859.21,1266252.48,7447.07,PITRCK,Relocate 2020,2020,Before,230000111597,3,Riffle 3,32,130,76,0.249,70,90,1058,Cobble,SC1,SC,0.91,0.277,1,1,1,0,0,0,moved ~0.5-1.0 ft
933,2802831.05,1266306.88,7447.50,PITRCK,Relocate 2020,2020,Before,230000111659,3,Riffle 3,32,164,139,0.456,68,128,2411,Cobble,SC2,SC,0.98,0.298,1,1,1,1,0,0,moved ~0.75 ft
727,2806314.03,1266591.01,7459.18,PITRCK,Relocate 2020,2020,Before,230000111523,1,Riffle 1,32,150,109,0.358,78,128,1992,Cobble,SC2,SC,0.66,0.200,1,1,1,0,0,0,moved ~1.0 ft
796,2806221.71,1266613.22,7457.82,PITRCK,Relocate 2020,2020,Before,230000111596,1,Riffle 1,32,86,73,0.240,64,90,548,Cobble,SC1,SC,0.85,0.258,1,1,1,0,0,0,moved ~1.0 ft
807,2804491.89,1266585.27,7453.61,PITRCK,Relocate 2020,2020,Before,230000111601,2,Riffle 2,32,129,115,0.377,45,128,1232,Cobble,SC2,SC,1.04,0.317,1,1,1,0,0,0,moved ~1.0 ft
817,2804483.17,1266542.15,7453.39,PITRCK,Relocate 2020,2020,Before,230000111508,2,Riffle 2,32,256,214,0.702,190,256,16900,Cobble,LC2,LC,0.92,0.279,1,1,1,0,0,0,moved ~1.0 ft
820,2804481.32,1266530.53,7453.48,PITRCK,Relocate 2020,2020,Before,230000111672,2,Riffle 2,32,102,80,0.262,55,90,831,Cobble,SC1,SC,1.32,0.403,1,1,1,0,0,0,moved ~1.0 ft
863,2804531.45,1266539.91,7453.36,PITRCK,Relocate 2020,2020,Before,230000111719,2,Riffle 2,32,165,110,0.361,61,128,1712,Cobble,SC2,SC,1.20,0.366,1,1,1,0,0,0,moved ~1.0 ft
923,2802856.98,1266233.12,7447.66,PITRCK,Relocate 2020,2020,Before,230000111609,3,Riffle 3,32,104,76,0.249,53,90,580,Cobble,SC1,SC,1.06,0.323,1,1,1,0,0,0,moved ~1.0 ft
958,2802866.23,1266321.14,7447.94,PITRCK,Relocate 2020,2020,Before,230000111557,3,Riffle 3,32,330,277,0.909,129,362,17300,Boulder,SB1,SB,1.30,0.396,1,1,1,1,0,0,moved ~1.0 ft
985,2802879.46,1266324.99,7447.68,PITRCK,Relocate 2020,2020,Before,230000111608,3,Riffle 3,32,160,123,0.404,71,128,2236,Cobble,SC2,SC,1.02,0.312,1,1,1,0,0,0,moved ~1.0 ft
709,2806331.53,1266614.09,7459.07,PITRCK,Relocate 2020,2020,Before,228000607505,1,Riffle 1,23,94,61,0.200,41,64,336,Gravel,VCG2,VCG,1.84,0.561,1,1,1,0,0,0,moved ~1.0-1.5 ft
766,2806251.41,1266568.13,7458.40,PITRCK,Relocate 2020,2020,Before,230000111592,1,Riffle 1,32,213,113,0.371,49,128,2412,Cobble,SC2,SC,1.37,0.417,1,1,1,0,0,0,moved ~1.0-1.5 ft
884,2804548.80,1266557.32,7453.62,PITRCK,Relocate 2020,2020,Before,228000607539,2,Riffle 2,23,110,63,0.207,31,64,372,Gravel,VCG2,VCG,1.36,0.414,1,1,1,1,0,0,moved ~1.25 ft
927,2802818.86,1266331.65,7447.27,PITRCK,Relocate 2020,2020,Before,230000111714,3,Riffle 3,32,152,118,0.387,46,128,1749,Cobble,SC2,SC,1.67,0.510,1,1,1,0,0,0,moved ~1.5 ft
726,2806312.61,1266584.16,7459.21,PITRCK,Relocate 2020,2020,Before,228000607546,1,Riffle 1,23,97,71,0.233,35,64,338,Gravel,VCG2,VCG,1.84,0.561,1,1,1,0,0,0,moved ~2.0 ft
768,2806250.70,1266579.43,7458.67,PITRCK,Relocate 2020,2020,Before,230000111551,1,Riffle 1,32,189,103,0.338,71,128,1963,Cobble,SC2,SC,1.03,0.313,1,1,1,0,0,0,moved ~2.0 ft
915,2802835.85,1266262.69,7447.02,PITRCK,Relocate 2020,2020,Before,230000111571,3,Riffle 3,32,126,87,0.285,39,90,849,Cobble,SC1,SC,1.90,0.578,1,1,1,0,0,0,moved ~2.0 ft
960,2802870.62,1266310.25,7447.55,PITRCK,Relocate 2020,2020,Before,228000607559,3,Riffle 3,23,63,54,0.177,45,64,235,Gravel,VCG2,VCG,2.04,0.623,1,1,1,0,0,0,moved ~2.0 ft
987,2802886.79,1266317.51,7447.66,PITRCK,Relocate 2020,2020,Before,230000111589,3,Riffle 3,32,125,113,0.371,95,128,2284,Cobble,SC2,SC,1.98,0.603,1,1,1,0,0,0,moved ~2.0 ft
774,2806244.99,1266611.86,7458.32,PITRCK,Relocate 2020,2020,Before,230000111577,1,Riffle 1,32,102,78,0.256,45,90,546,Cobble,SC1,SC,3.13,0.954,1,1,1,0,0,0,moved ~3.0 ft
741,2806292.42,1266557.83,7458.60,PITRCK,Relocate 2020,2020,Before,230000111708,1,Riffle 1,32,181,124,0.407,84,128,2277,Cobble,SC2,SC,0.21,0.064,1,0,0,0,0,0,moved <0.25 ft
754,2806290.04,1266636.66,7458.96,PITRCK,Relocate 2020,2020,Before,230000111507,1,Riffle 1,32,331,236,0.774,143,256,11400,Cobble,LC2,LC,0.82,0.250,1,1,1,0,0,0,moved <0.25 ft
931,2802827.38,1266314.63,7447.65,PITRCK,Relocate 2020,2020,Before,230000111500,3,Riffle 3,32,265,245,0.804,90,256,12100,Cobble,LC2,LC,NA,NA,0,NA,NA,1,0,0,"no 2019 coordinates, check survey data"
1064,2806254.39,1266558.06,7458.41,PITRCK,Relocate 2022,2021,Before,230000111636,1,Riffle 1,32,141,97,0.318,83,128,2024,Cobble,SC2,SC,0.05,0.016,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1065,2806254.02,1266563.38,7458.30,PITRCK,Relocate 2022,2021,Before,230000111716,1,Riffle 1,32,129,116,0.381,60,128,1338,Cobble,SC2,SC,0.09,0.027,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1066,2806251.37,1266568.13,7458.34,PITRCK,Relocate 2022,2021,Before,230000111592,1,Riffle 1,32,213,113,0.371,49,128,2412,Cobble,SC2,SC,0.04,0.011,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1067,2806247.63,1266573.67,7458.38,PITRCK,Relocate 2022,2021,Before,228000607565,1,Riffle 1,23,94,58,0.190,56,64,433,Gravel,VCG2,VCG,0.09,0.026,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1068,2806250.91,1266579.54,7458.64,PITRCK,Relocate 2022,2021,Before,230000111551,1,Riffle 1,32,189,103,0.338,71,128,1963,Cobble,SC2,SC,0.24,0.074,1,0,0,0,0,0,performed post-hoc position correction after base station fell over
1069,2806248.65,1266585.98,7458.43,PITRCK,Relocate 2022,2021,Before,230000111525,1,Riffle 1,32,104,86,0.282,46,90,837,Cobble,SC1,SC,2.05,0.624,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1070,2806248.14,1266592.44,7458.80,PITRCK,Relocate 2022,2021,Before,230000111578,1,Riffle 1,32,374,275,0.902,144,362,19700,Boulder,SB1,SB,0.17,0.052,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1071,2806239.40,1266595.92,7457.90,PITRCK,Relocate 2022,2021,Before,230000111555,1,Riffle 1,32,109,71,0.233,69,90,826,Cobble,SC1,SC,1.58,0.481,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1072,2806247.50,1266603.23,7458.31,PITRCK,Relocate 2022,2021,Before,230000111746,1,Riffle 1,32,111,68,0.223,59,90,775,Cobble,SC1,SC,1.14,0.346,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1073,2806247.37,1266606.60,7458.36,PITRCK,Relocate 2022,2021,Before,230000111707,1,Riffle 1,32,151,98,0.322,58,90,1186,Cobble,SC1,SC,0.60,0.182,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1074,2806244.43,1266611.41,7458.17,PITRCK,Relocate 2022,2021,Before,230000111577,1,Riffle 1,32,102,78,0.256,45,90,546,Cobble,SC1,SC,0.72,0.218,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1075,2806245.37,1266617.78,7458.61,PITRCK,Relocate 2022,2021,Before,230000111607,1,Riffle 1,32,113,100,0.328,63,90,1093,Cobble,SC1,SC,0.06,0.018,0,0,0,0,0,0,performed post-hoc position correction after base station fell over
1076,2806247.95,1266623.71,7458.20,PITRCK,Relocate 2022,2021,Before,230000111567,1,Riffle 1,32,128,104,0.341,33,90,645,Cobble,SC1,SC,0.32,0.098,1,0,0,0,0,0,performed post-hoc position correction after base station fell over
1077,2806246.75,1266628.61,7457.68,PITRCK,Relocate 2022,2021,Before,228000607560,1,Riffle 1,23,82,64,0.210,37,64,407,Gravel,VCG2,VCG,1.21,0.368,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1078,2806247.83,1266633.68,7457.52,PITRCK,Relocate 2022,2021,Before,230000111648,1,Riffle 1,32,101,88,0.289,34,90,508,Cobble,SC1,SC,0.79,0.240,1,1,1,0,0,0,performed post-hoc position correction after base station fell over
1141,2804508.37,1266532.67,7453.66,PITRCK,Relocate 2022,2021,Before,230000111638,2,Riffle 2,32,165,133,0.436,106,128,3239,Cobble,SC2,SC,0.06,0.018,0,0,0,0,0,0,protruding
1161,2804535.11,1266551.78,7453.69,PITRCK,Relocate 2022,2021,Before,230000111634,2,Riffle 2,32,367,215,0.705,128,256,16700,Cobble,LC2,LC,0.10,0.030,0,0,0,0,0,0,protruding
1164,2804531.83,1266536.34,7453.52,PITRCK,Relocate 2022,2021,Before,230000111587,2,Riffle 2,32,320,235,0.771,105,256,11600,Cobble,LC2,LC,0.06,0.017,0,0,0,0,0,0,protruding
1181,2804553.10,1266575.70,7454.31,PITRCK,Relocate 2022,2021,Before,230000111729,2,Riffle 2,32,346,280,0.919,115,362,21300,Boulder,SB1,SB,0.21,0.065,0,0,0,0,0,0,protruding
1210,2802820.54,1266287.42,7447.67,PITRCK,Relocate 2022,2021,Before,230000111640,3,Riffle 3,32,336,221,0.725,183,256,18800,Cobble,LC2,LC,0.96,0.294,1,1,1,0,0,0,protruding
1240,2802848.72,1266275.32,7447.37,PITRCK,Relocate 2022,2021,Before,230000111617,3,Riffle 3,32,327,250,0.820,89,256,9000,Cobble,LC2,LC,0.21,0.064,0,0,0,0,0,0,protruding
1258,2802866.07,1266321.16,7447.81,PITRCK,Relocate 2022,2021,Before,230000111557,3,Riffle 3,32,330,277,0.909,129,362,17300,Boulder,SB1,SB,0.16,0.050,0,0,0,0,0,0,protruding
1281,2802873.99,1266344.18,7447.94,PITRCK,Relocate 2022,2021,Before,230000111554,3,Riffle 3,32,375,265,0.869,193,362,22700,Boulder,SB1,SB,0.24,0.072,0,0,0,0,0,0,protruding
1291,2802898.55,1266298.69,7448.12,PITRCK,Relocate 2022,2021,Before,230000111565,3,Riffle 3,32,311,241,0.791,149,256,13100,Cobble,LC2,LC,0.24,0.074,0,0,0,0,0,0,protruding
1176,2804557.07,1266606.11,7454.67,PITRCK,Relocate 2022,2021,Before,230000111645,2,Riffle 2,32,134,101,0.331,91,128,2037,Cobble,SC2,SC,0.04,0.012,0,0,0,0,0,0,RS
1177,2804556.02,1266599.93,7454.48,PITRCK,Relocate 2022,2021,Before,228000607547,2,Riffle 2,23,80,70,0.230,43,64,370,Gravel,VCG2,VCG,0.19,0.059,1,0,0,0,0,0,RS
1178,2804554.37,1266594.96,7454.49,PITRCK,Relocate 2022,2021,Before,230000111502,2,Riffle 2,32,148,121,0.397,63,128,2125,Cobble,SC2,SC,1.55,0.472,1,1,1,0,0,0,RS
400,2806338.34,1266549.06,7459.52,PITRCK,Relocate 2019,2019,Before,230000111558,1,Riffle 1,32,145,118,0.387,52,128,1424,Cobble,SC2,SC,0.02,0.005,0,0,0,0,0,0,
401,2806337.88,1266558.05,7458.87,PITRCK,Relocate 2019,2019,Before,230000111677,1,Riffle 1,32,90,78,0.256,69,90,608,Cobble,SC1,SC,0.19,0.057,0,0,0,0,0,0,
402,2806338.05,1266564.81,7459.05,PITRCK,Relocate 2019,2019,Before,230000111624,1,Riffle 1,32,157,152,0.499,82,180,2584,Cobble,LC1,LC,0.07,0.020,0,0,0,0,0,0,
403,2806337.08,1266571.83,7459.04,PITRCK,Relocate 2019,2019,Before,228000607573,1,Riffle 1,23,102,61,0.200,48,64,550,Gravel,VCG2,VCG,0.11,0.033,0,0,0,0,0,0,
404,2806336.24,1266579.77,7459.58,PITRCK,Relocate 2019,2019,Before,230000111731,1,Riffle 1,32,145,98,0.322,56,128,1335,Cobble,SC2,SC,0.18,0.055,0,0,0,0,0,0,
