TagID,B_Axis_ft,Distance_ft,SurveyID
230000111659,0.456,0.98,Relocate 2020
230000111597,0.249,0.91,Relocate 2020
230000111557,0.909,1.30,Relocate 2020
228000607559,0.177,2.04,Relocate 2020
228000607519,0.210,0.68,Relocate 2020
230000111612,0.325,0.36,Relocate 2020
230000111531,0.371,0.50,Relocate 2020
230000111608,0.404,1.02,Relocate 2020
230000111589,0.371,1.98,Relocate 2020
230000111691,0.344,0.38,Relocate 2020
230000111613,0.367,0.57,Relocate 2020
230000111731,0.322,0.45,Relocate 2022
230000111736,0.358,0.54,Relocate 2022
230000111683,0.295,1.17,Relocate 2022
230000111631,0.184,0.75,Relocate 2022
230000111689,0.276,0.72,Relocate 2022
230000111643,0.410,0.96,Relocate 2022
228000607537,0.200,0.52,Relocate 2022
230000111651,0.364,0.80,Relocate 2022
230000111623,0.358,1.39,Relocate 2022
230000111544,0.240,0.44,Relocate 2022
228000607509,0.210,0.71,Relocate 2022
230000111575,0.315,0.33,Relocate 2022
230000111570,0.308,0.37,Relocate 2022
230000111525,0.282,2.05,Relocate 2022
230000111555,0.233,1.58,Relocate 2022
230000111746,0.223,1.14,Relocate 2022
230000111707,0.322,0.60,Relocate 2022
230000111577,0.256,0.72,Relocate 2022
228000607560,0.210,1.21,Relocate 2022
230000111648,0.289,0.79,Relocate 2022
228000607517,0.184,1.19,Relocate 2022
230000111535,0.331,1.38,Relocate 2022
230000111516,0.315,3.49,Relocate 2022
230000111503,0.302,1.56,Relocate 2022
228000607571,0.233,4.39,Relocate 2022
230000111654,0.344,0.36,Relocate 2022
230000111583,0.200,0.20,Relocate 2022
230000111619,0.210,0.27,Relocate 2022
230000111732,0.518,0.74,Relocate 2022
230000111730,0.374,0.91,Relocate 2022
230000111719,0.361,1.04,Relocate 2022
230000111742,0.236,1.26,Relocate 2022
230000111502,0.397,1.55,Relocate 2022
228000607504,0.213,0.52,Relocate 2022
228000607568,0.226,0.69,Relocate 2022
230000111687,0.387,1.61,Relocate 2022
230000111539,0.367,0.59,Relocate 2022
230000111628,0.322,0.51,Relocate 2022
230000111501,0.361,2.17,Relocate 2022
230000111616,0.443,1.07,Relocate 2022
228000607522,0.200,1.25,Relocate 2022
230000111524,0.292,1.06,Relocate 2022
230000111552,0.413,1.31,Relocate 2022
230000111640,0.725,0.96,Relocate 2022
228000607525,0.233,0.91,Relocate 2022
230000111571,0.285,0.35,Relocate 2022
230000111688,0.295,2.07,Relocate 2022
228000607556,0.161,1.21,Relocate 2022
230000111509,0.325,0.83,Relocate 2022
228000607562,0.164,0.39,Relocate 2022
228000607502,0.177,1.02,Relocate 2022
230000111743,0.318,0.46,Relocate 2022
230000111714,0.387,0.84,Relocate 2022
230000111744,0.315,0.36,Relocate 2022
230000111702,0.354,0.36,Relocate 2022
230000111582,0.371,0.43,Relocate 2022
228000607510,0.213,0.62,Relocate 2022
230000111692,0.266,3.19,Relocate 2022
230000111724,0.420,0.98,Relocate 2022
228000607551,0.236,1.64,Relocate 2022
230000111546,0.354,0.47,Relocate 2022
230000111635,0.282,0.73,Relocate 2022
228000607523,0.197,0.43,Relocate 2022
230000111597,0.249,0.39,Relocate 2022
230000111600,0.295,0.63,Relocate 2022
230000111543,0.289,1.86,Relocate 2022
230000111663,0.253,1.24,Relocate 2022
230000111637,0.341,0.63,Relocate 2022
228000607566,0.135,0.43,Relocate 2022
228000607519,0.210,1.06,Relocate 2022
230000111533,0.305,0.60,Relocate 2022
230000111563,0.203,0.32,Relocate 2022
230000111612,0.325,0.40,Relocate 2022
230000111608,0.404,0.73,Relocate 2022
230000111712,0.371,1.87,Relocate 2023
230000111683,0.295,1.91,Relocate 2023
231000039714,0.079,11.29,Relocate 2023
230000111708,0.407,6.90,Relocate 2023
230000111578,0.902,3.64,Relocate 2023
228000607513,0.197,7.75,Relocate 2023
230000111717,0.305,0.50,Relocate 2023
231000039702,0.125,12.55,Relocate 2023
230000111746,0.223,1.43,Relocate 2023
230000111725,0.804,1.31,Relocate 2023
230000111631,0.184,45.22,Relocate 2023
228000607546,0.233,59.04,Relocate 2023
230000111596,0.240,2.55,Relocate 2023
230000111581,0.331,10.76,Relocate 2023
231000039733,0.121,157.17,Relocate 2023
230000111734,0.341,8.88,Relocate 2023
226001370232,0.112,0.44,Relocate 2023
230000111575,0.315,7.70,Relocate 2023
226001370264,0.075,94.18,Relocate 2023
230000111700,0.269,1.83,Relocate 2023
231000039758,0.108,83.06,Relocate 2023
230000111668,0.367,4.69,Relocate 2023
228000607552,0.210,25.72,Relocate 2023
226001370277,0.049,0.66,Relocate 2023
230000111545,0.233,13.61,Relocate 2023
230000111540,0.269,1.12,Relocate 2023
230000111735,0.384,3.00,Relocate 2023
230000111686,0.256,0.49,Relocate 2023
230000111592,0.371,1.47,Relocate 2023
230000111695,0.318,9.75,Relocate 2023
230000111644,0.305,6.09,Relocate 2023
230000111698,0.269,15.52,Relocate 2023
230000111614,0.673,0.80,Relocate 2023
228000607549,0.164,50.00,Relocate 2023
228000607571,0.233,23.16,Relocate 2023
228000607541,0.210,6.65,Relocate 2023
226001370244,0.049,0.18,Relocate 2023
228000607517,0.184,1.08,Relocate 2023
228000607560,0.210,0.58,Relocate 2023
230000111560,0.246,4.11,Relocate 2023
231000039735,0.102,1.41,Relocate 2023
230000111566,0.377,1.41,Relocate 2023
228000607573,0.200,61.10,Relocate 2023
231000039711,0.112,472.03,Relocate 2023
230000298013,0.558,1.48,Relocate 2023
228000607524,0.223,13.08,Relocate 2023
228000607535,0.177,35.05,Relocate 2023
230000111643,0.410,0.42,Relocate 2023
228000607505,0.200,3.07,Relocate 2023
230000111534,0.443,2.41,Relocate 2023
228000607565,0.190,1.88,Relocate 2023
228000607520,0.210,0.43,Relocate 2023
230000111684,0.384,38.42,Relocate 2023
230000111527,0.249,147.60,Relocate 2023
231000039720,0.128,107.00,Relocate 2023
230000111728,0.404,0.44,Relocate 2023
228000607537,0.200,1.41,Relocate 2023
230000298011,0.689,3.13,Relocate 2023
228000607533,0.213,75.01,Relocate 2023
230000111510,0.755,3.00,Relocate 2023
230000111677,0.256,22.36,Relocate 2023
230000111548,0.249,0.37,Relocate 2023
230000111570,0.308,7.94,Relocate 2023
230000111716,0.381,0.69,Relocate 2023
230000111507,0.774,1.08,Relocate 2023
230000111594,0.220,4.13,Relocate 2023
230000111648,0.289,76.33,Relocate 2023
230000111599,0.394,41.77,Relocate 2023
228000607528,0.226,1050.17,Relocate 2023
230000111738,0.361,51.38,Relocate 2023
230000111634,0.705,6.50,Relocate 2023
230000111658,0.272,228.56,Relocate 2023
228000607558,0.240,75.27,Relocate 2023
231000039756,0.102,232.85,Relocate 2023
226001370280,0.079,367.16,Relocate 2023
230000111660,0.285,18.99,Relocate 2023
230000111629,0.433,19.35,Relocate 2023
226001370257,0.066,47.98,Relocate 2023
230000111718,0.236,134.31,Relocate 2023
230000111603,0.410,1.86,Relocate 2023
231000039788,0.118,241.96,Relocate 2023
230000111605,0.397,20.63,Relocate 2023
230000111515,0.869,1.06,Relocate 2023
230000111586,0.318,11.55,Relocate 2023
230000111583,0.200,172.38,Relocate 2023
230000111547,0.364,18.85,Relocate 2023
230000111671,0.305,2.14,Relocate 2023
230000111621,0.259,3.84,Relocate 2023
230000111657,0.236,1.86,Relocate 2023
230000111709,0.597,3.26,Relocate 2023
231000039715,0.102,317.36,Relocate 2023
230000111732,0.518,34.64,Relocate 2023
230000111587,0.771,2.07,Relocate 2023
228000607539,0.207,51.05,Relocate 2023
230000111602,0.509,31.81,Relocate 2023
226001370298,0.056,500.57,Relocate 2023
228000607569,0.256,37.18,Relocate 2023
228000607561,0.174,273.74,Relocate 2023
228000607547,0.230,13.95,Relocate 2023
228000607570,0.207,0.42,Relocate 2023
231000039736,0.118,7.14,Relocate 2023
230000111669,0.449,481.87,Relocate 2023
230000298004,0.597,443.02,Relocate 2023
231000039740,0.108,308.50,Relocate 2023
209000133190,0.210,478.69,Relocate 2023
228000607527,0.243,80.06,Relocate 2023
230000111606,0.354,627.73,Relocate 2023
230000111572,0.341,304.04,Relocate 2023
230000298005,0.518,716.43,Relocate 2023
230000111522,0.820,91.42,Relocate 2023
228000607504,0.213,699.95,Relocate 2023
230000111504,0.420,476.29,Relocate 2023
230000298012,0.394,27.19,Relocate 2023
230000111666,0.951,4.13,Relocate 2023
230000111705,0.276,502.93,Relocate 2023
230000111604,0.203,725.48,Relocate 2023
230000111726,0.935,29.10,Relocate 2023
230000111638,0.436,391.46,Relocate 2023
230000111673,0.315,709.66,Relocate 2023
230000111664,0.289,1.02,Relocate 2023
209000133204,0.180,19.77,Relocate 2023
231000039712,0.118,5.79,Relocate 2023
209000133209,0.387,1.26,Relocate 2023
209000133181,0.266,1.63,Relocate 2023
226001370216,0.049,0.20,Relocate 2023
209000133155,0.279,12.78,Relocate 2023
231000039751,0.105,6.35,Relocate 2023
209000133126,0.302,7.12,Relocate 2023
209000133194,0.217,6.69,Relocate 2023
209000133134,0.167,151.90,Relocate 2023
209000133192,0.344,253.02,Relocate 2023
209000133185,0.207,15.70,Relocate 2023
209000133175,0.344,10.67,Relocate 2023
209000133130,0.197,4.63,Relocate 2023
209000133137,0.243,435.33,Relocate 2023
209000133179,0.190,12.68,Relocate 2023
209000133147,0.200,183.91,Relocate 2023
230000298016,0.574,30.96,Relocate 2023
209000133110,0.302,251.24,Relocate 2023
209000133191,0.171,26.12,Relocate 2023
209000133151,0.190,187.17,Relocate 2023
226001370205,0.082,1.27,Relocate 2023
226001370222,0.059,0.16,Relocate 2023
226001370230,0.095,3.59,Relocate 2023
226001370236,0.069,42.62,Relocate 2023
226001370291,0.095,75.79,Relocate 2023
226001370204,0.059,243.14,Relocate 2023
