OBJECTID,Point,N,E,Elevation,Code,Site,SurveyID
73,50172,1266573.98,2804225.39,7453.88,PITRCK,Riffle 2B,Deploy 2023
74,50173,1266571.12,2804224.66,7454.17,PITRCK,Riffle 2B,Deploy 2023
75,50174,1266563.97,2804223.24,7454.5,PITRCK,Riffle 2B,Deploy 2023
76,50175,1266633.73,2804198.86,7454.3,PITRCK,Riffle 2B,Deploy 2023
77,50176,1266629.13,2804197.86,7454.1,PITRCK,Riffle 2B,Deploy 2023
78,50177,1266625.28,2804196.59,7453.62,PITRCK,Riffle 2B,Deploy 2023
79,50178,1266621,2804194.91,7453.76,PITRCK,Riffle 2B,Deploy 2023
80,50179,1266616.12,2804193.84,7453.18,PITRCK,Riffle 2B,Deploy 2023
81,50180,1266611.67,2804192.79,7453.44,PITRCK,Riffle 2B,Deploy 2023
82,50181,1266606.85,2804190.99,7453.47,PITRCK,Riffle 2B,Deploy 2023
83,50182,1266602.98,2804189.86,7453.03,PITRCK,Riffle 2B,Deploy 2023
84,50183,1266599.74,2804188.02,7453.87,PITRCK,Riffle 2B,Deploy 2023
85,50184,1266594.69,2804186.14,7453.25,PITRCK,Riffle 2B,Deploy 2023
86,50185,1266589.66,2804184.6,7453.75,PITRCK,Riffle 2B,Deploy 2023
87,50186,1266585.06,2804182.56,7453.73,PITRCK,Riffle 2B,Deploy 2023
88,50187,1266580.59,2804180.91,7454.14,PITRCK,Riffle 2B,Deploy 2023
89,50188,1266590.45,2804160.67,7454.1,PITRCK,Riffle 2B,Deploy 2023
90,50189,1266595.44,2804162.72,7453.95,PITRCK,Riffle 2B,Deploy 2023
91,50190,1266600.09,2804164.66,7453.47,PITRCK,Riffle 2B,Deploy 2023
92,50191,1266604.72,2804166.35,7453.22,PITRCK,Riffle 2B,Deploy 2023
93,50192,1266609.64,2804168.18,7453.11,PITRCK,Riffle 2B,Deploy 2023
94,50193,1266614.03,2804169.21,7453.45,PITRCK,Riffle 2B,Deploy 2023
95,50194,1266618.8,2804171.05,7453.05,PITRCK,Riffle 2B,Deploy 2023
96,50195,1266623.33,2804172.7,7453.29,PITRCK,Riffle 2B,Deploy 2023
97,50196,1266627.8,2804173.69,7452.95,PITRCK,Riffle 2B,Deploy 2023
98,50197,1266632.2,2804175.23,7453.52,PITRCK,Riffle 2B,Deploy 2023
99,50198,1266637.04,2804176.86,7453.73,PITRCK,Riffle 2B,Deploy 2023
100,50199,1266641.56,2804178.62,7454.31,PITRCK,Riffle 2B,Deploy 2023
101,50200,1266541.88,2806340.21,7459.74,PITRCK,Riffle 1,Deploy 2023
102,50201,1266546.63,2806339.93,7458.94,PITRCK,Riffle 1,Deploy 2023
103,50202,1266552.47,2806339.43,7459.21,PITRCK,Riffle 1,Deploy 2023
104,50203,1266557.62,2806338.98,7459.26,PITRCK,Riffle 1,Deploy 2023
105,50204,1266563.68,2806338.68,7459.49,PITRCK,Riffle 1,Deploy 2023
106,50205,1266568.4,2806338.11,7459.82,PITRCK,Riffle 1,Deploy 2023
107,50206,1266573.7,2806337.49,7459.66,PITRCK,Riffle 1,Deploy 2023
108,50207,1266579.06,2806337.21,7460.22,PITRCK,Riffle 1,Deploy 2023
109,50208,1266584.29,2806336.23,7459.8,PITRCK,Riffle 1,Deploy 2023
110,50209,1266589.93,2806334.97,7459.57,PITRCK,Riffle 1,Deploy 2023
