"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
209000133178,"After","3",23,76,60,33,"64",245.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51176
209000133179,"After","GA4",23,84,58,47,"64",371,"Gravel","VCG2",613.66,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50320
209000133181,"After","GA1",23,115,81,58,"90",893,"Cobble","SC1",2.11,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50303
209000133183,"After","GA6",23,81,57,46,"64",332,"Gravel","VCG2",1695.53,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50325
209000133185,"After","GA3",23,99,63,40,"64",407,"Gravel","VCG2",15.7,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50314
209000133186,"After","3",23,73,60,35,"64",286,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51159
209000133187,"After","GA5",23,95,94,40,"90",630.5,"Cobble","SC1",104.87,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50324
209000133189,"After","3",23,79,57,39,"64",274.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51108
209000133190,"After","2B",23,84,64,35,"64",376.5,"Gravel","VCG2",499.3,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50160
209000133191,"After","GA6",23,92,52,50,"64",543,"Gravel","VCG2",46.02,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50328
209000133192,"After","GA2",32,117,105,60,"128",1101,"Cobble","SC2",1194.48,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50312
209000133193,"After","3",23,70,64,45,"64",346.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51171
209000133194,"After","GA1",23,85,66,42,"64",348,"Gravel","VCG2",10.39,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50309
209000133195,"After","3",23,73,46,44,"64",207,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51113
209000133196,"After","3",23,76,62,40,"64",296,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51193
209000133198,"After","3",23,75,56,45,"64",317.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51111
209000133200,"After","0",23,56,45,32,"64",174,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51033
209000133201,"After","3",23,94,65,45,"64",461.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51199
209000133202,"After","3",23,70,55,44,"64",225,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51142
