OBJECTID,Point,E,N,Elevation,Code,SurveyID
78,50797,2806221.94,1266628.97,7458.4,PITRCK,Relocate 2024
79,50799,2806148.92,1266610.84,7458.49,PITRCK,Relocate 2024
80,50800,2804575.76,1266602.81,7454.97,PITRCK,Relocate 2024
81,50801,2803567.14,1266622.98,7448.45,PITRCK,Relocate 2024
82,50802,2804567.28,1266592.78,7454.54,PITRCK,Relocate 2024
83,50804,2803117.77,1266475.2,7448.7,PITRCK,Relocate 2024
84,50805,2804614.44,1266585.85,7454.83,PITRCK,Relocate 2024
85,50807,2803614.74,1266656.69,7448.45,PITRCK,Relocate 2024
86,50811,2804626.5,1266556.36,7456.21,PITRCK,Relocate 2024
87,50812,2804604.58,1266552.81,7456.02,PITRCK,Relocate 2024
88,50814,2804603.93,1266563.64,7455.43,PITRCK,Relocate 2024
89,50817,2803790.37,1266665.66,7448.77,PITRCK,Relocate 2024
90,50818,2804600.25,1266586.93,7454.75,PITRCK,Relocate 2024
91,50819,2803784.89,1266659.78,7448.76,PITRCK,Relocate 2024
92,50821,2804578.32,1266600.87,7455.07,PITRCK,Relocate 2024
93,50822,2804452.07,1266569.66,7453.42,PITRCK,Relocate 2024
94,50823,2803326.65,1266565.48,7448.93,PITRCK,Relocate 2024
95,50825,2804573.74,1266610.26,7455.3,PITRCK,Relocate 2024
96,50826,2803866.44,1266671.17,7450.33,PITRCK,Relocate 2024
97,50827,2804554.82,1266592.03,7454.49,PITRCK,Relocate 2024
98,50828,2804572.6,1266594.15,7455.32,PITRCK,Relocate 2024
99,50829,2804564.74,1266582.15,7454.46,PITRCK,Relocate 2024
100,50830,2803112.08,1266390.12,7449.05,PITRCK,Relocate 2024
101,50832,2804543.24,1266564.09,7454.44,PITRCK,Relocate 2024
102,50835,2803959.02,1266624.54,7451.71,PITRCK,Relocate 2024
103,50836,2804576.89,1266551.26,7455.33,PITRCK,Relocate 2024
104,50837,2804509.88,1266596.25,7455.8,PITRCK,Relocate 2024
105,50839,2804519.62,1266585.13,7454.82,PITRCK,Relocate 2024
106,50840,2803868.54,1266660.74,7450.53,PITRCK,Relocate 2024
107,50843,2804525,1266563.08,7454.07,PITRCK,Relocate 2024
108,50844,2803657.67,1266626.27,7448.41,PITRCK,Relocate 2024
109,50845,2804496.16,1266541.93,7453.21,PITRCK,Relocate 2024
110,50847,2804489.98,1266541.91,7453.05,PITRCK,Relocate 2024
111,50848,2803575.08,1266619.59,7448.39,PITRCK,Relocate 2024
112,50849,2804515.43,1266536.01,7454.96,PITRCK,Relocate 2024
113,50850,2804253.34,1266614.14,7453.75,PITRCK,Relocate 2024
114,50851,2804251.34,1266610.42,7453.39,PITRCK,Relocate 2024
115,50852,2804234.46,1266614.19,7453.75,PITRCK,Relocate 2024
116,50853,2803768.79,1266651.14,7448.38,PITRCK,Relocate 2024
117,50854,2803530.22,1266641.3,7448.57,PITRCK,Relocate 2024
118,50855,2803790.85,1266630.84,7448.64,PITRCK,Relocate 2024
119,50856,2803471.4,1266663.62,7449,PITRCK,Relocate 2024
120,50857,2803807.48,1266652.94,7449.13,PITRCK,Relocate 2024
