DeployID,TagID,RecapID,RecapID_Clean,Size (mm),Location,SurveyID,Date,Notes
51125,209000133122,,,23,Riffle 3,Deploy 2024_10,,
51125,209000133133,,,23,Riffle 3,Deploy 2024_10,,
51118,209000133139,,,23,Riffle 3,Deploy 2024_10,,
51140,209000133145,,,23,Riffle 3,Deploy 2024_10,,
51154,209000133150,,,23,Riffle 3,Deploy 2024_10,,
51128,209000133154,,,23,Riffle 3,Deploy 2024_10,,
51145,209000133166,,,23,Riffle 3,Deploy 2024_10,,
51170,209000133170,,,23,Riffle 3,Deploy 2024_10,,
51103,209000133173,,,23,Riffle 3,Deploy 2024_10,,
51189,209000133177,,,23,Riffle 3,Deploy 2024_10,,
51176,209000133178,,,23,Riffle 3,Deploy 2024_10,,
51159,209000133186,,,23,Riffle 3,Deploy 2024_10,,
51108,209000133189,,,23,Riffle 3,Deploy 2024_10,,
51171,209000133193,,,23,Riffle 3,Deploy 2024_10,,
51113,209000133195,,,23,Riffle 3,Deploy 2024_10,,
51193,209000133196,,,23,Riffle 3,Deploy 2024_10,,
51111,209000133198,,,23,Riffle 3,Deploy 2024_10,,
51199,209000133201,,,23,Riffle 3,Deploy 2024_10,,
51142,209000133202,,,23,Riffle 3,Deploy 2024_10,,
51190,209000133492,,,23,Riffle 3,Deploy 2024_10,,
51179,226001370202,,,12,Riffle 3,Deploy 2024_10,,
51109,226001370211,,,12,Riffle 3,Deploy 2024_10,,
51191,226001370217,,,12,Riffle 3,Deploy 2024_10,,
51187,226001370220,,,12,Riffle 3,Deploy 2024_10,,
51165,226001370226,,,12,Riffle 3,Deploy 2024_10,,
51158,226001370229,,,12,Riffle 3,Deploy 2024_10,,
51181,226001370242,,,12,Riffle 3,Deploy 2024_10,,
51156,226001370246,,,12,Riffle 3,Deploy 2024_10,,
51173,226001370248,,,12,Riffle 3,Deploy 2024_10,,
51123,226001370252,,,12,Riffle 3,Deploy 2024_10,,
51116,226001370254,,,12,Riffle 3,Deploy 2024_10,,
51119,226001370258,,,12,Riffle 3,Deploy 2024_10,,
51134,226001370260,,,12,Riffle 3,Deploy 2024_10,,
51110,226001370263,,,12,Riffle 3,Deploy 2024_10,,
51122,226001370265,,,12,Riffle 3,Deploy 2024_10,,
51172,226001370268,,,12,Riffle 3,Deploy 2024_10,,
51160,226001370270,,,12,Riffle 3,Deploy 2024_10,,
51174,226001370282,,,12,Riffle 3,Deploy 2024_10,,
51175,226001370283,,,12,Riffle 3,Deploy 2024_10,,
51112,226001370297,,,12,Riffle 3,Deploy 2024_10,,
51168,226001370300,,,12,Riffle 3,Deploy 2024_10,,
