OBJECTID,Point,N,E,Elevation,Code,SurveyID
84,51083,1266513.88,2808336.1,7466.04,PITRCK,Deploy 2024_10
85,51084,1266519.84,2808335.16,7465.72,PITRCK,Deploy 2024_10
86,51085,1266525.56,2808335.26,7465.7,PITRCK,Deploy 2024_10
87,51086,1266530.16,2808335.13,7465.38,PITRCK,Deploy 2024_10
88,51087,1266534.29,2808334.28,7466.05,PITRCK,Deploy 2024_10
89,51088,1266539.17,2808334.27,7465.4,PITRCK,Deploy 2024_10
90,51089,1266545.38,2808333.81,7465.24,PITRCK,Deploy 2024_10
91,51090,1266550.6,2808333.37,7465.64,PITRCK,Deploy 2024_10
92,51091,1266555.45,2808332.39,7465.66,PITRCK,Deploy 2024_10
93,51092,1266559.94,2808332.41,7465.53,PITRCK,Deploy 2024_10
94,51093,1266565.3,2808331.57,7465.22,PITRCK,Deploy 2024_10
95,51094,1266570.26,2808331.54,7465.82,PITRCK,Deploy 2024_10
96,51095,1266575,2808330.92,7465.72,PITRCK,Deploy 2024_10
97,51096,1266579.48,2808330.42,7466.09,PITRCK,Deploy 2024_10
98,51097,1266584.27,2808329.44,7466.23,PITRCK,Deploy 2024_10
99,51098,1266589.32,2808328.33,7466.33,PITRCK,Deploy 2024_10
100,51099,1266594.01,2808326.18,7466.84,PITRCK,Deploy 2024_10
101,51100,1266135.59,2802537.03,7447.71,PITRCK,Deploy 2024_10
102,51101,1266131.84,2802540.27,7447.11,PITRCK,Deploy 2024_10
103,51102,1266127.66,2802543.33,7446.46,PITRCK,Deploy 2024_10
104,51103,1266123.79,2802545.74,7446.64,PITRCK,Deploy 2024_10
105,51104,1266119.46,2802548.85,7446.35,PITRCK,Deploy 2024_10
106,51105,1266115.96,2802551.94,7446.03,PITRCK,Deploy 2024_10
107,51106,1266112.88,2802555.6,7445.95,PITRCK,Deploy 2024_10
108,51107,1266110.27,2802558.53,7445.92,PITRCK,Deploy 2024_10
109,51108,1266106.27,2802561.23,7445.83,PITRCK,Deploy 2024_10
110,51109,1266102.45,2802563.73,7445.96,PITRCK,Deploy 2024_10
111,51110,1266096.64,2802566.87,7446.28,PITRCK,Deploy 2024_10
112,51111,1266091.16,2802569.36,7447.21,PITRCK,Deploy 2024_10
113,51112,1266082.63,2802574.64,7447.73,PITRCK,Deploy 2024_10
114,51113,1266071.95,2802581.17,7447.62,PITRCK,Deploy 2024_10
115,51114,1266063.74,2802585.08,7447.39,PITRCK,Deploy 2024_10
116,51115,1266048.71,2802568.57,7446.95,PITRCK,Deploy 2024_10
117,51116,1266054.56,2802564.52,7446.72,PITRCK,Deploy 2024_10
118,51117,1266062.36,2802559.95,7447.16,PITRCK,Deploy 2024_10
119,51118,1266068.51,2802555.23,7446.75,PITRCK,Deploy 2024_10
120,51119,1266075.75,2802551.25,7446.43,PITRCK,Deploy 2024_10
121,51120,1266082.3,2802547.07,7446.29,PITRCK,Deploy 2024_10
122,51121,1266088.32,2802543.97,7445.63,PITRCK,Deploy 2024_10
123,51122,1266093.87,2802541.04,7445.41,PITRCK,Deploy 2024_10
124,51123,1266099.68,2802537.3,7445.6,PITRCK,Deploy 2024_10
125,51124,1266105.19,2802532.21,7446.1,PITRCK,Deploy 2024_10
126,51125,1266109.55,2802529.82,7446.15,PITRCK,Deploy 2024_10
127,51126,1266114.19,2802526.38,7446.46,PITRCK,Deploy 2024_10
128,51127,1266118.47,2802523.32,7447.47,PITRCK,Deploy 2024_10
129,51128,1266121.99,2802520.37,7446.79,PITRCK,Deploy 2024_10
130,51129,1266126.11,2802517.46,7447.49,PITRCK,Deploy 2024_10
131,51130,1266113.85,2802502.66,7447.41,PITRCK,Deploy 2024_10
132,51131,1266109.34,2802505.71,7446.93,PITRCK,Deploy 2024_10
133,51132,1266103.83,2802509.74,7446.98,PITRCK,Deploy 2024_10
134,51133,1266098.69,2802514.36,7446.54,PITRCK,Deploy 2024_10
135,51134,1266094.32,2802517.78,7446.1,PITRCK,Deploy 2024_10
136,51135,1266090.62,2802520.74,7445.98,PITRCK,Deploy 2024_10
137,51136,1266086.73,2802524.03,7445.76,PITRCK,Deploy 2024_10
138,51137,1266083.26,2802526.75,7446.19,PITRCK,Deploy 2024_10
139,51138,1266079.6,2802530.65,7445.76,PITRCK,Deploy 2024_10
140,51139,1266075.12,2802533.7,7445.53,PITRCK,Deploy 2024_10
141,51140,1266070.6,2802537.32,7445.88,PITRCK,Deploy 2024_10
142,51141,1266062.93,2802541.73,7446.2,PITRCK,Deploy 2024_10
143,51142,1266051.76,2802547.05,7446.75,PITRCK,Deploy 2024_10
144,51143,1266044.35,2802550.52,7447.04,PITRCK,Deploy 2024_10
145,51144,1266031.05,2802533.91,7446.63,PITRCK,Deploy 2024_10
146,51145,1266039.52,2802528.64,7446.43,PITRCK,Deploy 2024_10
147,51146,1266046.43,2802525.23,7446.7,PITRCK,Deploy 2024_10
148,51147,1266052.19,2802522.24,7445.97,PITRCK,Deploy 2024_10
149,51148,1266057.89,2802518.59,7445.51,PITRCK,Deploy 2024_10
150,51149,1266062.4,2802516.05,7445.42,PITRCK,Deploy 2024_10
151,51150,1266066.03,2802513.43,7445.91,PITRCK,Deploy 2024_10
152,51151,1266071.26,2802510.85,7445.57,PITRCK,Deploy 2024_10
153,51152,1266076.08,2802508.92,7446.15,PITRCK,Deploy 2024_10
154,51153,1266081.12,2802504.76,7446.16,PITRCK,Deploy 2024_10
155,51154,1266085.66,2802501.71,7446.13,PITRCK,Deploy 2024_10
156,51155,1266089.31,2802498.16,7446.94,PITRCK,Deploy 2024_10
157,51156,1266093.32,2802495.01,7446.33,PITRCK,Deploy 2024_10
158,51157,1266096.22,2802492.85,7446.81,PITRCK,Deploy 2024_10
159,51158,1266074.61,2802456.84,7446.79,PITRCK,Deploy 2024_10
160,51159,1266068.23,2802460.05,7446.54,PITRCK,Deploy 2024_10
161,51160,1266062.99,2802462.79,7446.09,PITRCK,Deploy 2024_10
162,51161,1266057.78,2802465.8,7446.17,PITRCK,Deploy 2024_10
163,51162,1266053.54,2802469.11,7445.65,PITRCK,Deploy 2024_10
164,51163,1266049.45,2802471.57,7445.25,PITRCK,Deploy 2024_10
165,51164,1266046.43,2802474.2,7445.03,PITRCK,Deploy 2024_10
166,51165,1266042.4,2802477.04,7444.99,PITRCK,Deploy 2024_10
167,51166,1266038.33,2802480.58,7445.36,PITRCK,Deploy 2024_10
168,51167,1266035.48,2802483.36,7444.99,PITRCK,Deploy 2024_10
169,51168,1266031.63,2802486.69,7445.03,PITRCK,Deploy 2024_10
170,51169,1266027.09,2802488.93,7445.67,PITRCK,Deploy 2024_10
171,51170,1266021.63,2802491.75,7445.95,PITRCK,Deploy 2024_10
172,51171,1266013.49,2802495.01,7446.29,PITRCK,Deploy 2024_10
173,51172,1266000.97,2802479.49,7446.25,PITRCK,Deploy 2024_10
174,51173,1266007.69,2802474.97,7445.83,PITRCK,Deploy 2024_10
175,51174,1266012.72,2802472.43,7445.58,PITRCK,Deploy 2024_10
176,51175,1266017.41,2802469.49,7445.04,PITRCK,Deploy 2024_10
177,51176,1266021.11,2802466.7,7444.68,PITRCK,Deploy 2024_10
178,51177,1266025.94,2802464.87,7444.96,PITRCK,Deploy 2024_10
179,51178,1266031.78,2802461.29,7444.69,PITRCK,Deploy 2024_10
180,51179,1266036.93,2802458.43,7445.02,PITRCK,Deploy 2024_10
181,51180,1266041.49,2802455.23,7445.52,PITRCK,Deploy 2024_10
182,51181,1266045.9,2802452.21,7445.82,PITRCK,Deploy 2024_10
183,51182,1266049.95,2802449.67,7446.02,PITRCK,Deploy 2024_10
184,51183,1266054.89,2802446.26,7446.1,PITRCK,Deploy 2024_10
185,51184,1266059.09,2802443.81,7446.42,PITRCK,Deploy 2024_10
186,51185,1266063.49,2802441.31,7446.8,PITRCK,Deploy 2024_10
187,51186,1266053.35,2802421.3,7447.28,PITRCK,Deploy 2024_10
188,51187,1266048.06,2802424.27,7446.44,PITRCK,Deploy 2024_10
189,51188,1266042.04,2802428.3,7446.21,PITRCK,Deploy 2024_10
190,51189,1266034,2802432.69,7445.82,PITRCK,Deploy 2024_10
191,51190,1266029.57,2802436.22,7445.6,PITRCK,Deploy 2024_10
192,51191,1266025.91,2802438.67,7445.18,PITRCK,Deploy 2024_10
193,51192,1266021.26,2802440.37,7445.27,PITRCK,Deploy 2024_10
194,51193,1266017.23,2802443.45,7444.84,PITRCK,Deploy 2024_10
195,51194,1266012.96,2802446.51,7444.95,PITRCK,Deploy 2024_10
196,51195,1266009.37,2802448.25,7445.18,PITRCK,Deploy 2024_10
197,51196,1266005.96,2802450.63,7445.15,PITRCK,Deploy 2024_10
198,51197,1266002.13,2802453.68,7445.1,PITRCK,Deploy 2024_10
199,51198,1265996.36,2802456.95,7445.39,PITRCK,Deploy 2024_10
200,51199,1265991.57,2802460.42,7445.95,PITRCK,Deploy 2024_10
201,51200,1266615.12,2804604.37,7455.26,PITRCK,Deploy 2024_10
202,51201,1266608.73,2804605.01,7455.53,PITRCK,Deploy 2024_10
203,51202,1266603.03,2804605.83,7455.05,PITRCK,Deploy 2024_10
204,51203,1266598.12,2804606.53,7454.82,PITRCK,Deploy 2024_10
205,51204,1266593.38,2804607,7454.68,PITRCK,Deploy 2024_10
206,51205,1266588.69,2804607.44,7454.23,PITRCK,Deploy 2024_10
207,51206,1266583.71,2804608.59,7454.68,PITRCK,Deploy 2024_10
208,51207,1266578.32,2804609.27,7454.89,PITRCK,Deploy 2024_10
209,51208,1266572.44,2804610.97,7455.05,PITRCK,Deploy 2024_10
210,51209,1266567.43,2804610.81,7455.35,PITRCK,Deploy 2024_10
211,51210,1266560.83,2804611.68,7455.72,PITRCK,Deploy 2024_10
212,51211,1266552.7,2804592.02,7455.23,PITRCK,Deploy 2024_10
213,51212,1266559.43,2804590.66,7455.46,PITRCK,Deploy 2024_10
214,51213,1266565.29,2804589.56,7455.33,PITRCK,Deploy 2024_10
215,51214,1266570.28,2804588.87,7454.83,PITRCK,Deploy 2024_10
216,51215,1266575.94,2804588.41,7454.76,PITRCK,Deploy 2024_10
217,51216,1266581.03,2804588.29,7454.74,PITRCK,Deploy 2024_10
218,51217,1266586.21,2804587.69,7454.88,PITRCK,Deploy 2024_10
219,51218,1266591.63,2804587.16,7455.27,PITRCK,Deploy 2024_10
220,51219,1266596.91,2804587.07,7454.93,PITRCK,Deploy 2024_10
221,51220,1266602.87,2804586.23,7454.84,PITRCK,Deploy 2024_10
222,51221,1266607.64,2804585.21,7455.13,PITRCK,Deploy 2024_10
223,51222,1266609.7,2804566.06,7455.26,PITRCK,Deploy 2024_10
224,51223,1266603.63,2804567.2,7454.81,PITRCK,Deploy 2024_10
225,51224,1266597.74,2804569.27,7454.75,PITRCK,Deploy 2024_10
226,51225,1266592.45,2804570.42,7455.12,PITRCK,Deploy 2024_10
