OBJECTID,Point,N,E,Elevation,Code,SurveyID
89,50507,1266562.163,2804395.803,7453.218,PITRCK,Relocate 2023
90,50509,1266564.071,2804550.505,7454.476,PITRCK,Relocate 2023
91,50510,1266550.168,2804393.516,7453.084,PITRCK,Relocate 2023
92,50511,1266555.443,2804626.6,7456.189,PITRCK,Relocate 2023
93,50512,1266552.506,2804604.623,7456.139,PITRCK,Relocate 2023
94,50513,1266578.998,2804237.857,7452.656,PITRCK,Relocate 2023
95,50514,1266563.686,2804603.834,7455.469,PITRCK,Relocate 2023
96,50518,1266586.928,2804600.213,7454.773,PITRCK,Relocate 2023
97,50519,1266584.741,2804581.612,7454.459,PITRCK,Relocate 2023
98,50521,1266601.17,2804578.481,7454.781,PITRCK,Relocate 2023
99,50522,1266587.767,2804552.41,7454.172,PITRCK,Relocate 2023
100,50523,1266568.255,2804468.287,7453.712,PITRCK,Relocate 2023
101,50525,1266610.396,2804573.618,7455.257,PITRCK,Relocate 2023
102,50526,1266580.982,2804333.453,7453.242,PITRCK,Relocate 2023
103,50527,1266592.258,2804554.864,7454.462,PITRCK,Relocate 2023
104,50528,1266594.008,2804574.034,7455.477,PITRCK,Relocate 2023
105,50529,1266584.132,2804565.066,7454.401,PITRCK,Relocate 2023
106,50530,1266535.546,2804409.975,7453.702,PITRCK,Relocate 2023
107,50532,1266566.484,2804558.945,7454.653,PITRCK,Relocate 2023
108,50535,1266555.443,2804577.438,7455.233,PITRCK,Relocate 2023
109,50536,1266551.213,2804576.728,7455.359,PITRCK,Relocate 2023
110,50537,1266598.911,2804516.484,7455.766,PITRCK,Relocate 2023
111,50539,1266585.28,2804519.31,7454.983,PITRCK,Relocate 2023
112,50540,1266620.89,2804206.394,7453.168,PITRCK,Relocate 2023
113,50542,1266562.351,2804492.162,7453.538,PITRCK,Relocate 2023
114,50543,1266563.189,2804525.279,7454.004,PITRCK,Relocate 2023
115,50544,1266547.982,2804478.671,7452.204,PITRCK,Relocate 2023
116,50545,1266544.235,2804498.763,7453.4,PITRCK,Relocate 2023
117,50546,1266630.355,2804035.175,7451.709,PITRCK,Relocate 2023
118,50547,1266542.731,2804493.178,7453.273,PITRCK,Relocate 2023
119,50548,1266584.167,2804260.234,7452.702,PITRCK,Relocate 2023
120,50549,1266537.362,2804517.811,7455.066,PITRCK,Relocate 2023
121,50550,1266614.284,2804253.059,7453.996,PITRCK,Relocate 2023
122,50551,1266610.771,2804251.674,7453.647,PITRCK,Relocate 2023
123,50552,1266606.933,2804243.258,7453.692,PITRCK,Relocate 2023
124,50553,1266651.417,2803768.839,7448.668,PITRCK,Relocate 2023
125,50555,1266643.704,2803805.834,7449.823,PITRCK,Relocate 2023
126,50559,1266623.809,2803938.675,7451.61,PITRCK,Relocate 2023
127,50560,1266648.928,2803770.181,7448.752,PITRCK,Relocate 2023
128,50562,1266645.57,2804158.46,7453.618,PITRCK,Relocate 2023
129,50563,1266638.383,2803606.723,7447.999,PITRCK,Relocate 2023
130,50565,1266657.855,2803931.92,7451.341,PITRCK,Relocate 2023
131,50567,1266660.068,2803516.678,7448.304,PITRCK,Relocate 2023
132,50568,1266631.448,2804146.573,7452.95,PITRCK,Relocate 2023
133,50569,1266632.259,2803528.819,7448.334,PITRCK,Relocate 2023
134,50571,1266647.144,2803754.442,7448.765,PITRCK,Relocate 2023
135,50576,1266638.884,2804172.477,7453.665,PITRCK,Relocate 2023
136,50578,1266621.612,2804190.828,7453.682,PITRCK,Relocate 2023
137,50580,1266644.91,2803690.959,7448.491,PITRCK,Relocate 2023
138,50591,1266632.216,2803441.393,7447.864,PITRCK,Relocate 2023
139,50593,1266630.204,2804145.015,7453.159,PITRCK,Relocate 2023
140,50595,1266641.795,2803781.673,7448.773,PITRCK,Relocate 2023
141,50597,1266628.945,2803465.579,7448.169,PITRCK,Relocate 2023
142,50599,1266641.731,2804177.618,7453.953,PITRCK,Relocate 2023
143,50600,1266508.702,2805198.105,7457.854,PITRCK,Relocate 2023
144,50601,1266503.676,2805211.261,7457.555,PITRCK,Relocate 2023
145,50602,1266496.844,2805214.977,7457.637,PITRCK,Relocate 2023
146,50603,1266516.014,2805192.086,7456.981,PITRCK,Relocate 2023
147,50604,1266510.378,2805191.333,7457.675,PITRCK,Relocate 2023
148,50605,1266505.02,2805190.113,7458.378,PITRCK,Relocate 2023
149,50606,1266497.841,2805177.594,7454.949,PITRCK,Relocate 2023
150,50607,1266523.703,2805164.956,7456.249,PITRCK,Relocate 2023
151,50608,1266514.752,2805162.43,7457.162,PITRCK,Relocate 2023
152,50609,1266510.755,2805161.966,7456.56,PITRCK,Relocate 2023
153,50610,1266584.521,2804794.159,7453.824,PITRCK,Relocate 2023
154,50612,1266583.917,2804690.047,7454.466,PITRCK,Relocate 2023
155,50614,1266460.755,2804898.757,7455.419,PITRCK,Relocate 2023
156,50616,1266470.243,2804904.04,7456.6,PITRCK,Relocate 2023
157,50617,1266627.746,2804748.401,7456.105,PITRCK,Relocate 2023
158,50619,1266571.325,2804316.479,7453.22,PITRCK,Relocate 2023
159,50620,1266615.274,2804735.972,7455.592,PITRCK,Relocate 2023
160,50621,1266578.019,2804508.317,7454.444,PITRCK,Relocate 2023
161,50622,1266599.928,2804659.149,7454.982,PITRCK,Relocate 2023
162,50626,1266623.372,2804173.645,7453.15,PITRCK,Relocate 2023
163,50628,1266549.806,2804387.245,7453.353,PITRCK,Relocate 2023
164,50629,1266587.148,2804231.104,7452.711,PITRCK,Relocate 2023
165,50630,1266526.098,2804193.217,7455.41,PITRCK,Relocate 2023
166,50631,1266527.43,2804196.453,7455.35,PITRCK,Relocate 2023
167,50632,1266532.927,2804197.652,7455.193,PITRCK,Relocate 2023
168,50634,1266563.324,2804173.06,7455.044,PITRCK,Relocate 2023
169,50636,1266518.97,2804596.078,7456.679,PITRCK,Relocate 2023
170,50639,1266547.313,2804431.383,7452.37,PITRCK,Relocate 2023
