"Point","E","N","Elevation","Code","SurveyID","Date","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Field_Movement","Hiding","Embedded","Buried","DetectionType","allNotes"
51701,2802540.33,1266131.84,"7447.05","PITRCK","Relocate 2025","9/18/2025","After",230000111529,"3","Riffle 3",32,248,168,104,"180",5200,"Cobble","LC1",0,0,0,0,"Trimble",""
51702,2802543.37,1266127.61,"7446.62","PITRCK","Relocate 2025","9/18/2025","After",231000039749,"3","Riffle 3",14,53,28,12,"32",43.5,"Gravel","CG2",0,1,0,0,"Trimble",""
51703,2802545.67,1266123.77,"7446.84","PITRCK","Relocate 2025","9/18/2025","After",209000133173,"3","Riffle 3",23,81,60,51,"64",370.5,"Gravel","VCG2",0,0,0,0,"Trimble",""
51704,2802547.98,1266118.59,"7446.49","PITRCK","Relocate 2025","9/18/2025","After",230000111745,"3","Riffle 3",32,96,94,43,"90",833,"Cobble","SC1",1,0,0,0,"Trimble",""
51705,2802552.06,1266115.99,"7446.05","PITRCK","Relocate 2025","9/18/2025","After",231000039767,"3","Riffle 3",14,50,35,21,"32",67,"Gravel","CG2",0,0,0,0,"Trimble"," Approximate recap location."
51706,2802552.62,1266111.36,"7445.44","PITRCK","Relocate 2025","9/18/2025","After",230000111633,"3","Riffle 3",32,123,109,74,"128",1530,"Cobble","SC2",1,0,0,0,"Trimble",""
51707,2802557.75,1266108.59,"7445.9","PITRCK","Relocate 2025","9/18/2025","After",230000111542,"3","Riffle 3",32,102,71,69,"90",796,"Cobble","SC1",1,0,0,0,"Trimble",""
51708,2802559.33,1266103.96,"7445.52","PITRCK","Relocate 2025","9/18/2025","After",209000133189,"3","Riffle 3",23,79,57,39,"64",274.5,"Gravel","VCG2",1,0,0,0,"Trimble",""
51709,2802563.43,1266102.66,"7445.79","PITRCK","Relocate 2025","9/18/2025","After",226001370211,"3","Riffle 3",12,33,30,14,"32",36,"Gravel","CG2",1,0,0,1,"Trimble",""
51710,2802566.59,1266096.21,"7446.19","PITRCK","Relocate 2025","9/18/2025","After",226001370263,"3","Riffle 3",12,17,17,11,"16",3.727,"Gravel","MG2",1,0,0,1,"Trimble"," Approximate recap location."
51711,2802569.25,1266091.41,"7447.15","PITRCK","Relocate 2025","9/18/2025","After",209000133198,"3","Riffle 3",23,75,56,45,"64",317.5,"Gravel","VCG2",1,0,0,0,"Trimble",""
51712,2802575.29,1266082.75,"7447.49","PITRCK","Relocate 2025","9/18/2025","After",226001370297,"3","Riffle 3",12,20,15,14,"16",5.694,"Gravel","MG2",1,0,0,1,"Trimble",""
51713,2802581.02,1266071.71,"7447.59","PITRCK","Relocate 2025","9/18/2025","After",209000133195,"3","Riffle 3",23,73,46,44,"64",207,"Gravel","VCG2",1,0,0,0,"Trimble",""
51714,2802581.95,1266063.09,"7447.35","PITRCK","Relocate 2025","9/18/2025","After",230000111635,"3","Riffle 3",32,100,86,60,"90",643,"Cobble","SC1",1,0,0,0,"Trimble",""
51715,2802569.21,1266048.51,"7446.84","PITRCK","Relocate 2025","9/18/2025","After",209000133112,"3","Riffle 3",23,70,45,32,"45",113.5,"Gravel","VCG1",1,0,0,1,"Trimble",""
51716,2802564.46,1266054.02,"7446.56","PITRCK","Relocate 2025","9/18/2025","After",226001370254,"3","Riffle 3",12,22,14,12,"16",5.005,"Gravel","MG2",1,0,0,1,"Trimble"," Approximate recap location."
51717,2802559.82,1266062.42,"7447.16","PITRCK","Relocate 2025","9/18/2025","After",230000298018,"3","Riffle 3",32,260,185,115,"256",6600,"Cobble","LC2",0,0,0,0,"Trimble",""
51718,2802555.25,1266068.52,"7446.66","PITRCK","Relocate 2025","9/18/2025","After",209000133139,"3","Riffle 3",23,55,38,22,"45",128,"Gravel","VCG1",0,1,0,0,"Trimble",""
51719,2802551.22,1266075.62,"7446.25","PITRCK","Relocate 2025","9/18/2025","After",226001370258,"3","Riffle 3",12,20,13,11,"16",4.263,"Gravel","MG2",0,0,0,1,"Trimble",""
51720,2802545.35,1266080.26,"7446.33","PITRCK","Relocate 2025","9/18/2025","After",230000111597,"3","Riffle 3",32,130,76,70,"90",1058,"Cobble","SC1",1,0,0,0,"Trimble",""
51721,2802544.01,1266088.23,"7445.65","PITRCK","Relocate 2025","9/18/2025","After",230000111706,"3","Riffle 3",32,120,105,62,"128",1063,"Cobble","SC2",0,0,0,0,"Trimble",""
51722,2802541.18,1266094.01,"7445.39","PITRCK","Relocate 2025","9/18/2025","After",226001370265,"3","Riffle 3",12,21,18,11,"16",4.056,"Gravel","MG2",0,0,0,0,"Trimble"," Approximate recap location."
51723,2802537.51,1266099.61,"7445.54","PITRCK","Relocate 2025","9/18/2025","After",230000111627,"3","Riffle 3",32,151,80,39,"90",787,"Cobble","SC1",0,0,0,0,"Trimble",""
51724,2802533.32,1266104.62,"7446.11","PITRCK","Relocate 2025","9/18/2025","After",209000133133,"3","Riffle 3",23,88,51,35,"64",230.5,"Gravel","VCG2",1,0,0,0,"Trimble",""
51725,2802529.99,1266109.48,"7446.05","PITRCK","Relocate 2025","9/18/2025","After",209000133122,"3","Riffle 3",23,90,52,44,"64",332.5,"Gravel","VCG2",0,0,0,0,"Trimble",""
51726,2802526.81,1266114.59,"7446.44","PITRCK","Relocate 2025","9/18/2025","After",226001370252,"3","Riffle 3",12,25,18,10,"16",4.005,"Gravel","MG2",1,0,0,1,"Trimble"," Approximate recap location."
51727,2802523.4,1266118.44,"7447.44","PITRCK","Relocate 2025","9/18/2025","After",230000111674,"3","Riffle 3",32,297,226,193,"256",27800,"Cobble","LC2",0,0,0,0,"Trimble",""
51728,2802520.47,1266121.95,"7446.77","PITRCK","Relocate 2025","9/18/2025","After",231000039796,"3","Riffle 3",14,52,35,16,"32",58,"Gravel","CG2",0,0,0,0,"Trimble",""
51729,2802517.52,1266126.14,"7447.44","PITRCK","Relocate 2025","9/18/2025","After",209000133154,"3","Riffle 3",23,86,55,34,"64",294.5,"Gravel","VCG2",0,0,0,0,"Trimble",""
51730,2802502.61,1266113.79,"7447.39","PITRCK","Relocate 2025","9/18/2025","After",231000039708,"3","Riffle 3",14,45,32,25,"32",60.5,"Gravel","CG2",0,0,0,0,"Trimble",""
51731,2802505.59,1266109.2,"7446.86","PITRCK","Relocate 2025","9/18/2025","After",230000111514,"3","Riffle 3",32,107,96,62,"90",894,"Cobble","SC1",1,0,0,0,"Trimble",""
51732,2802508.56,1266103.74,"7446.91","PITRCK","Relocate 2025","9/18/2025","After",230000111612,"3","Riffle 3",32,135,99,82,"128",1821,"Cobble","SC2",1,0,0,0,"Trimble",""
51733,2802514.41,1266099.06,"7446.59","PITRCK","Relocate 2025","9/18/2025","After",230000111661,"3","Riffle 3",32,141,67,45,"90",711,"Cobble","SC1",1,0,0,0,"Trimble",""
51734,2802517.82,1266094.27,"7446.16","PITRCK","Relocate 2025","9/18/2025","After",226001370260,"3","Riffle 3",12,30,26,12,"32",33.5,"Gravel","CG2",0,0,0,0,"Trimble",""
51735,2802520.89,1266090.33,"7445.89","PITRCK","Relocate 2025","9/18/2025","After",230000111649,"3","Riffle 3",32,150,87,55,"90",1202,"Cobble","SC1",1,0,0,0,"Trimble",""
51736,2802524.05,1266086.68,"7445.9","PITRCK","Relocate 2025","9/18/2025","After",230000111538,"3","Riffle 3",32,186,126,93,"128",2956,"Cobble","SC2",0,0,0,0,"Trimble",""
51737,2802524.61,1266081.01,"7445.91","PITRCK","Relocate 2025","9/18/2025","After",230000111640,"3","Riffle 3",32,336,221,183,"256",18800,"Cobble","LC2",1,0,0,0,"Trimble",""
51738,2802530.04,1266078.96,"7445.65","PITRCK","Relocate 2025","9/18/2025","After",230000111601,"3","Riffle 3",32,129,115,45,"128",1232,"Cobble","SC2",1,0,0,0,"Trimble",""
51739,2802533.67,1266074.85,"7445.24","PITRCK","Relocate 2025","9/18/2025","After",230000111663,"3","Riffle 3",32,96,77,43,"90",526,"Cobble","SC1",1,0,0,0,"Trimble",""
51740,2802537.11,1266070.6,"7445.86","PITRCK","Relocate 2025","9/18/2025","After",209000133145,"3","Riffle 3",23,84,71,35,"64",359,"Gravel","VCG2",0,0,0,0,"Trimble",""
51741,2802541.52,1266062.85,"7446.17","PITRCK","Relocate 2025","9/18/2025","After",226001370370,"3","Riffle 3",12,25,17,13,"16",9.352,"Gravel","MG2",1,0,0,0,"Trimble",""
51742,2802547.09,1266051.87,"7446.78","PITRCK","Relocate 2025","9/18/2025","After",209000133202,"3","Riffle 3",23,70,55,44,"64",225,"Gravel","VCG2",0,0,0,0,"Trimble",""
51743,2802550.43,1266044.54,"7446.9","PITRCK","Relocate 2025","9/18/2025","After",230000111512,"3","Riffle 3",32,135,102,78,"128",1872,"Cobble","SC2",1,0,0,0,"Trimble",""
51744,2802533.86,1266031.04,"7446.66","PITRCK","Relocate 2025","9/18/2025","After",231000039743,"3","Riffle 3",14,54,35,18,"32",51.5,"Gravel","CG2",0,0,0,1,"Trimble",""
51745,2802528.79,1266039.86,"7446.4","PITRCK","Relocate 2025","9/18/2025","After",209000133166,"3","Riffle 3",23,51,44,24,"45",70.5,"Gravel","VCG1",0,0,0,0,"Trimble",""
51746,2802525.23,1266046.28,"7446.7","PITRCK","Relocate 2025","9/18/2025","After",230000111500,"3","Riffle 3",32,265,245,90,"256",12100,"Cobble","LC2",0,0,0,0,"Trimble",""
51747,2802522.34,1266052.24,"7445.92","PITRCK","Relocate 2025","9/18/2025","After",231000039789,"3","Riffle 3",14,60,31,24,"32",57,"Gravel","CG2",0,0,0,1,"Trimble",""
51748,2802518.67,1266057.81,"7445.5","PITRCK","Relocate 2025","9/18/2025","After",230000111580,"3","Riffle 3",32,115,103,61,"90",1055,"Cobble","SC1",0,0,0,0,"Trimble",""
51749,2802513.91,1266062.11,"7445.21","PITRCK","Relocate 2025","9/18/2025","After",230000111702,"3","Riffle 3",32,115,108,100,"128",1144,"Cobble","SC2",1,0,0,0,"Trimble",""
51750,2802513.55,1266064.96,"7445.9","PITRCK","Relocate 2025","9/18/2025","After",230000298019,"3","Riffle 3",32,299,252,120,"256",14900,"Cobble","LC2",1,0,0,0,"Trimble",""
51751,2802508.84,1266068.9,"7445.23","PITRCK","Relocate 2025","9/18/2025","After",230000111524,"3","Riffle 3",32,154,89,64,"90",1292,"Cobble","SC1",1,0,0,0,"Trimble",""
51752,2802509.01,1266075.83,"7446.02","PITRCK","Relocate 2025","9/18/2025","After",230000111554,"3","Riffle 3",32,375,265,193,">256",22700,"Boulder","SB1",0,0,0,0,"Trimble",""
51753,2802504.8,1266081.17,"7446.16","PITRCK","Relocate 2025","9/18/2025","After",228000607568,"3","Riffle 3",23,91,69,40,"64",384,"Gravel","VCG2",0,0,0,0,"Trimble",""
51754,2802501.77,1266085.58,"7446.11","PITRCK","Relocate 2025","9/18/2025","After",209000133150,"3","Riffle 3",23,65,36,24,"45",94,"Gravel","VCG1",0,0,0,0,"Trimble",""
51755,2802497.4,1266087.4,"7446.82","PITRCK","Relocate 2025","9/18/2025","After",230000298009,"3","Riffle 3",32,225,149,112,"256",6900,"Cobble","LC2",1,0,0,0,"Trimble",""
51756,2802495.17,1266092.98,"7446.22","PITRCK","Relocate 2025","9/18/2025","After",226001370246,"3","Riffle 3",12,21,17,11,"16",5.37,"Gravel","MG2",1,0,0,0,"Trimble",""
51757,2802492.81,1266096.2,"7446.76","PITRCK","Relocate 2025","9/18/2025","After",230000111616,"3","Riffle 3",32,153,135,74,"128",2113,"Cobble","SC2",0,0,0,0,"Trimble",""
51758,2802455.64,1266075.46,"7446.55","PITRCK","Relocate 2025","9/18/2025","After",226001370229,"3","Riffle 3",12,26,16,9,"16",4.223,"Gravel","MG2",1,0,0,1,"Trimble",""
51759,2802460.08,1266068.15,"7446.53","PITRCK","Relocate 2025","9/18/2025","After",209000133186,"3","Riffle 3",23,73,60,35,"64",286,"Gravel","VCG2",0,0,0,0,"Trimble",""
51760,2802462.99,1266063.18,"7445.93","PITRCK","Relocate 2025","9/18/2025","After",226001370270,"3","Riffle 3",12,39,29,12,"32",33,"Gravel","CG2",1,0,0,1,"Trimble",""
51761,2802465.92,1266057.69,"7446.15","PITRCK","Relocate 2025","9/18/2025","After",230000111565,"3","Riffle 3",32,311,241,149,"256",13100,"Cobble","LC2",0,0,0,0,"Trimble",""
51762,2802469.1,1266053.52,"7445.64","PITRCK","Relocate 2025","9/18/2025","After",230000111628,"3","Riffle 3",32,180,98,45,"90",1341,"Cobble","SC1",0,0,0,0,"Trimble",""
51763,2802471.57,1266049.5,"7445.17","PITRCK","Relocate 2025","9/18/2025","After",231000039793,"3","Riffle 3",14,61,35,26,"32",81.5,"Gravel","CG2",0,0,0,0,"Trimble"," Approximate recap location."
51764,2802471.35,1266044.96,"7445.14","PITRCK","Relocate 2025","9/18/2025","After",230000111543,"3","Riffle 3",32,109,88,33,"90",649,"Cobble","SC1",1,0,0,0,"Trimble",""
51765,2802476.83,1266042.64,"7444.72","PITRCK","Relocate 2025","9/18/2025","After",226001370226,"3","Riffle 3",12,41,22,14,"32",31,"Gravel","CG2",0,0,0,0,"Trimble"," Approximate recap location."
51766,2802480.15,1266037.94,"7445.17","PITRCK","Relocate 2025","9/18/2025","After",230000298015,"3","Riffle 3",32,178,165,46,"256",57000,"Cobble","LC2",1,0,0,0,"Trimble",""
51768,2802486.69,1266031.57,"7444.97","PITRCK","Relocate 2025","9/18/2025","After",226001370300,"3","Riffle 3",12,24,15,13,"16",5.791,"Gravel","MG2",0,0,0,0,"Trimble",""
51769,2802488.6,1266026.96,"7445.82","PITRCK","Relocate 2025","9/18/2025","After",228000607575,"3","Riffle 3",23,105,71,43,"64",522,"Gravel","VCG2",1,0,0,0,"Trimble",""
51770,2802491.76,1266021.66,"7445.99","PITRCK","Relocate 2025","9/18/2025","After",209000133170,"3","Riffle 3",23,122,76,38,"64",542.5,"Gravel","VCG2",0,0,0,0,"Trimble",""
51771,2802494.92,1266013.47,"7446.32","PITRCK","Relocate 2025","9/18/2025","After",209000133193,"3","Riffle 3",23,70,64,45,"64",346.5,"Gravel","VCG2",0,0,0,1,"Trimble",""
51772,2802479.36,1266001.14,"7446.27","PITRCK","Relocate 2025","9/18/2025","After",226001370268,"3","Riffle 3",12,18,16,12,"16",4.506,"Gravel","MG2",0,0,0,0,"Trimble",""
51773,2802475.06,1266007.75,"7445.66","PITRCK","Relocate 2025","9/18/2025","After",226001370248,"3","Riffle 3",12,28,28,26,"32",45,"Gravel","CG2",0,1,0,0,"Trimble",""
51774,2802472.4,1266013.13,"7445.48","PITRCK","Relocate 2025","9/18/2025","After",226001370282,"3","Riffle 3",12,39,28,18,"32",53,"Gravel","CG2",1,0,0,0,"Trimble",""
51775,2802469.46,1266017.36,"7445.02","PITRCK","Relocate 2025","9/18/2025","After",226001370283,"3","Riffle 3",12,30,29,17,"32",41.5,"Gravel","CG2",0,0,0,0,"Trimble",""
51776,2802463.3,1266018.1,"7444.61","PITRCK","Relocate 2025","9/18/2025","After",209000133178,"3","Riffle 3",23,76,60,33,"64",245.5,"Gravel","VCG2",1,0,0,0,"Trimble",""
51777,2802464.77,1266025.69,"7444.96","PITRCK","Relocate 2025","9/18/2025","After",230000111617,"3","Riffle 3",32,327,250,89,"256",9000,"Cobble","LC2",0,0,0,0,"Trimble",""
51778,2802461.2,1266031.79,"7444.76","PITRCK","Relocate 2025","9/18/2025","After",230000111659,"3","Riffle 3",32,164,139,68,"128",2411,"Cobble","SC2",0,0,0,0,"Trimble",""
51779,2802458.25,1266037.09,"7445","PITRCK","Relocate 2025","9/18/2025","After",226001370202,"3","Riffle 3",12,20,16,15,"16",5.569,"Gravel","MG2",1,1,0,0,"Trimble",""
51780,2802455.31,1266041.39,"7445.61","PITRCK","Relocate 2025","9/18/2025","After",230000111505,"3","Riffle 3",32,117,77,71,"90",941,"Cobble","SC1",0,0,0,0,"Trimble",""
51781,2802449.95,1266045.36,"7445.54","PITRCK","Relocate 2025","9/18/2025","After",226001370242,"3","Riffle 3",12,24,21,12,"16",4.828,"Gravel","MG2",1,0,0,0,"Trimble","moved by hand 1-2 ft.  Approximate recap location."
51782,2802449.67,1266049.87,"7446.04","PITRCK","Relocate 2025","9/18/2025","After",230000111513,"3","Riffle 3",32,148,93,75,"90",1599,"Cobble","SC1",0,0,0,0,"Trimble",""
51784,2802443.94,1266059.21,"7446.44","PITRCK","Relocate 2025","9/18/2025","After",230000111579,"3","Riffle 3",32,121,89,53,"90",906,"Cobble","SC1",0,0,0,0,"Trimble",""
51785,2802441.32,1266063.36,"7446.75","PITRCK","Relocate 2025","9/18/2025","After",230000111610,"3","Riffle 3",32,130,85,56,"90",936,"Cobble","SC1",0,0,0,0,"Trimble",""
51786,2802421.31,1266052.38,"7447.2","PITRCK","Relocate 2025","9/18/2025","After",230000111520,"3","Riffle 3",32,134,95,42,"90",1088,"Cobble","SC1",1,0,0,0,"Trimble",""
51787,2802424.34,1266048.12,"7446.45","PITRCK","Relocate 2025","9/18/2025","After",226001370220,"3","Riffle 3",12,22,15,10,"16",4.661,"Gravel","MG2",0,0,0,1,"Trimble",""
51788,2802428.23,1266041.8,"7446.19","PITRCK","Relocate 2025","9/18/2025","After",230000111533,"3","Riffle 3",32,98,93,48,"90",686,"Cobble","SC1",1,0,0,0,"Trimble",""
51789,2802432.74,1266033.95,"7445.85","PITRCK","Relocate 2025","9/18/2025","After",209000133177,"3","Riffle 3",23,87,66,41,"64",368,"Gravel","VCG2",0,0,0,0,"Trimble",""
51790,2802436.1,1266029.45,"7445.54","PITRCK","Relocate 2025","9/18/2025","After",209000133492,"3","Riffle 3",23,68,54,45,"64",212,"Gravel","VCG2",0,0,0,0,"Trimble",""
51791,2802438.71,1266025.65,"7445.2","PITRCK","Relocate 2025","9/18/2025","After",226001370217,"3","Riffle 3",12,39,31,14,"32",44.5,"Gravel","CG2",0,0,0,0,"Trimble",""
51792,2802440.01,1266020.94,"7445.21","PITRCK","Relocate 2025","9/18/2025","After",230000111557,"3","Riffle 3",32,330,277,129,">256",17300,"Boulder","SB1",1,0,0,0,"Trimble",""
51793,2802443.64,1266017.25,"7444.6","PITRCK","Relocate 2025","9/18/2025","After",209000133196,"3","Riffle 3",23,76,62,40,"64",296,"Gravel","VCG2",0,0,0,0,"Trimble",""
51794,2802446.52,1266012.89,"7444.96","PITRCK","Relocate 2025","9/18/2025","After",230000111637,"3","Riffle 3",32,168,104,67,"128",1687,"Cobble","SC2",0,0,0,0,"Trimble",""
51795,2802447.39,1266009.13,"7445.08","PITRCK","Relocate 2025","9/18/2025","After",230000298010,"3","Riffle 3",32,310,175,65,"256",10400,"Cobble","LC2",1,0,0,0,"Trimble",""
51796,2802450.62,1266005.8,"7445.11","PITRCK","Relocate 2025","9/18/2025","After",230000111699,"3","Riffle 3",32,185,124,79,"128",3653,"Cobble","SC2",0,0,0,0,"Trimble",""
51797,2802453.69,1266002.18,"7445.08","PITRCK","Relocate 2025","9/18/2025","After",230000111561,"3","Riffle 3",32,125,98,59,"90",1054,"Cobble","SC1",0,0,0,0,"Trimble",""
51798,2802456.91,1265996.38,"7445.4","PITRCK","Relocate 2025","9/18/2025","After",226001370385,"3","Riffle 3",12,22,17,13,"16",6.371,"Gravel","MG2",0,0,0,1,"Trimble",""
51799,2802460.2,1265991.51,"7446.01","PITRCK","Relocate 2025","9/18/2025","After",209000133201,"3","Riffle 3",23,94,65,45,"64",461.5,"Gravel","VCG2",1,0,0,0,"Trimble",""
51800,2808424.04,1266599.58,"7466.75","PITRCK","Relocate 2025","9/22/2025","After",230000111676,"0","Riffle 0",32,145,84,71,"90",1337,"Cobble","SC1",0,0,0,0,"Trimble",""
51801,2808426.4,1266592.21,"7466.38","PITRCK","Relocate 2025","9/22/2025","After",228000607556,"0","Riffle 0",23,51,49,46,"64",159,"Gravel","VCG2",1,0,0,0,"Trimble",""
51802,2808426.51,1266584.62,"7465.58","PITRCK","Relocate 2025","9/22/2025","After",230000111531,"0","Riffle 0",32,123,113,67,"128",1519,"Cobble","SC2",0,0,0,0,"Trimble",""
51803,2808425.94,1266578.55,"7466.34","PITRCK","Relocate 2025","9/22/2025","After",209000132800,"0","Riffle 0",23,285,220,197,">256",24100,"Boulder","SB1",1,0,0,0,"Trimble",""
51804,2808427.66,1266573.43,"7465.79","PITRCK","Relocate 2025","9/22/2025","After",228000607510,"0","Riffle 0",23,82,65,40,"64",401,"Gravel","VCG2",0,0,0,0,"Trimble",""
51805,2808428.38,1266568.52,"7466.09","PITRCK","Relocate 2025","9/22/2025","After",209000132794,"0","Riffle 0",23,129,126,110,"180",3000,"Cobble","LC1",0,0,0,0,"Trimble",""
51806,2808430.06,1266563.14,"7466.01","PITRCK","Relocate 2025","9/22/2025","After",230000111651,"0","Riffle 0",32,117,111,49,"90",767,"Cobble","SC1",0,0,0,0,"Trimble",""
51807,2808431.94,1266558.07,"7466.18","PITRCK","Relocate 2025","9/22/2025","After",231000039742,"0","Riffle 0",14,36,36,26,"45",84,"Gravel","VCG1",0,0,0,0,"Trimble",""
51808,2808432.77,1266552.9,"7466.31","PITRCK","Relocate 2025","9/22/2025","After",230000111715,"0","Riffle 0",32,168,117,70,"128",2178,"Cobble","SC2",0,0,0,0,"Trimble",""
51809,2808434.35,1266546.79,"7466.08","PITRCK","Relocate 2025","9/22/2025","After",209000133171,"0","Riffle 0",23,46,44,24,"45",55,"Gravel","VCG1",0,0,0,0,"Trimble",""
51810,2808434.88,1266542.8,"7466.06","PITRCK","Relocate 2025","9/22/2025","After",230000111521,"0","Riffle 0",32,203,83,83,"90",2179,"Cobble","SC1",0,0,0,0,"Trimble",""
51811,2808435.37,1266538.85,"7465.92","PITRCK","Relocate 2025","9/22/2025","After",226001370295,"0","Riffle 0",12,50,35,21,"32",44,"Gravel","CG2",0,0,0,0,"Trimble",""
51813,2808436.51,1266529.08,"7466.24","PITRCK","Relocate 2025","9/22/2025","After",226001370301,"0","Riffle 0",12,26,18,10,"16",6,"Gravel","MG2",0,0,0,1,"Trimble",""
51815,2808436.92,1266519.21,"7466.67","PITRCK","Relocate 2025","9/22/2025","After",226001370381,"0","Riffle 0",12,21,20,12,"22.6",6.5,"Gravel","CG1",1,1,0,0,"Trimble",""
51816,2808437.63,1266514.22,"7467.04","PITRCK","Relocate 2025","9/22/2025","After",226001370287,"0","Riffle 0",12,40,37,24,"32",36,"Gravel","CG2",0,0,0,1,"Trimble",""
51820,2808416.12,1266498.71,"7467.31","PITRCK","Relocate 2025","9/22/2025","After",226001370357,"0","Riffle 0",12,32,21,12,"22.6",9.5,"Gravel","CG1",1,0,0,1,"Trimble",""
51821,2808416.14,1266504.76,"7467.39","PITRCK","Relocate 2025","9/22/2025","After",209000133207,"0","Riffle 0",23,120,69,56,"90",768.5,"Cobble","SC1",1,0,0,0,"Trimble",""
51824,2808416.41,1266522.45,"7466.21","PITRCK","Relocate 2025","9/22/2025","After",226001370238,"0","Riffle 0",12,45,25,13,"22.6",22.5,"Gravel","CG1",1,1,0,0,"Trimble",""
51825,2808415.28,1266529.03,"7466.44","PITRCK","Relocate 2025","9/22/2025","After",209000132778,"0","Riffle 0",23,175,147,98,"180",4500,"Cobble","LC1",1,0,0,0,"Trimble",""
51826,2808413.5,1266534.31,"7465.79","PITRCK","Relocate 2025","9/22/2025","After",226001370393,"0","Riffle 0",12,31,17,12,"16",9.5,"Gravel","MG2",1,1,0,0,"Trimble",""
51827,2808407.71,1266536.45,"7466.02","PITRCK","Relocate 2025","9/22/2025","After",230000111595,"0","Riffle 0",32,158,98,49,"90",939,"Cobble","SC1",1,0,0,0,"Trimble",""
51828,2808413.37,1266545.6,"7465.95","PITRCK","Relocate 2025","9/22/2025","After",226001370302,"0","Riffle 0",12,28,18,10,"22.6",7.5,"Gravel","CG1",1,0,0,1,"Trimble",""
51829,2808411.29,1266549.43,"7466.07","PITRCK","Relocate 2025","9/22/2025","After",228000607536,"0","Riffle 0",23,70,68,51,"64",373,"Gravel","VCG2",1,1,0,0,"Trimble",""
51830,2808410.54,1266554.36,"7466.01","PITRCK","Relocate 2025","9/22/2025","After",230000111741,"0","Riffle 0",32,148,100,84,"128",1958,"Cobble","SC2",1,0,0,0,"Trimble",""
51831,2808412.17,1266559.09,"7466.58","PITRCK","Relocate 2025","9/22/2025","After",209000132717,"0","Riffle 0",23,318,176,124,"180",9300,"Cobble","LC1",0,0,0,1,"Trimble",""
51832,2808412.49,1266563.43,"7465.73","PITRCK","Relocate 2025","9/22/2025","After",226001370384,"0","Riffle 0",12,27,20,10,"22.6",8,"Gravel","CG1",1,0,0,1,"Trimble",""
51833,2808411.53,1266567.99,"7466.1","PITRCK","Relocate 2025","9/22/2025","After",209000133200,"0","Riffle 0",23,56,45,32,"64",174,"Gravel","VCG2",0,1,0,0,"Trimble",""
51836,2808408.76,1266581.33,"7465.71","PITRCK","Relocate 2025","9/22/2025","After",226001370336,"0","Riffle 0",12,26,15,13,"16",7,"Gravel","MG2",0,1,0,0,"Trimble",""
51838,2808406.57,1266593.25,"7466.63","PITRCK","Relocate 2025","9/22/2025","After",226001370371,"0","Riffle 0",12,25,23,13,"22.6",7,"Gravel","CG1",0,1,0,0,"Trimble",""
51839,2808405.14,1266599.83,"7467.12","PITRCK","Relocate 2025","9/22/2025","After",230000111722,"0","Riffle 0",32,81,59,42,"64",385,"Gravel","VCG2",0,0,0,0,"Trimble",""
51840,2808384.88,1266601.63,"7467.07","PITRCK","Relocate 2025","9/22/2025","After",226001370307,"0","Riffle 0",12,97,76,26,"64",274.5,"Gravel","VCG2",0,1,0,0,"Trimble",""
51841,2808384.02,1266596.8,"7466.73","PITRCK","Relocate 2025","9/22/2025","After",226001370399,"0","Riffle 0",12,42,26,23,"32",33.5,"Gravel","CG2",1,1,0,0,"Trimble",""
51842,2808385.65,1266590.83,"7466.64","PITRCK","Relocate 2025","9/22/2025","After",228000607559,"0","Riffle 0",23,63,54,45,"64",235,"Gravel","VCG2",0,1,0,0,"Trimble",""
51843,2808387.51,1266585.28,"7466.41","PITRCK","Relocate 2025","9/22/2025","After",228000607501,"0","Riffle 0",23,78,52,34,"64",212,"Gravel","VCG2",0,1,0,0,"Trimble",""
51844,2808387.61,1266580.28,"7466.08","PITRCK","Relocate 2025","9/22/2025","After",228000607562,"0","Riffle 0",23,74,50,36,"45",173,"Gravel","VCG1",0,1,0,0,"Trimble",""
51845,2808388.98,1266574.61,"7465.92","PITRCK","Relocate 2025","9/22/2025","After",209000133128,"0","Riffle 0",23,65,41,25,"45",73,"Gravel","VCG1",0,1,0,0,"Trimble",""
51846,2808389.83,1266570.31,"7465.9","PITRCK","Relocate 2025","9/22/2025","After",226001370251,"0","Riffle 0",12,49,32,16,"32",32.5,"Gravel","CG2",0,0,0,1,"Trimble",""
51847,2808390.17,1266566.11,"7466.44","PITRCK","Relocate 2025","9/22/2025","After",209000132724,"0","Riffle 0",23,214,160,80,"180",4700,"Cobble","LC1",1,0,0,0,"Trimble",""
51848,2808392.5,1266561.19,"7466.06","PITRCK","Relocate 2025","9/22/2025","After",226001370362,"0","Riffle 0",12,25,18,15,"22.6",8,"Gravel","CG1",0,0,0,1,"Trimble",""
51849,2808394.95,1266556.26,"7466.66","PITRCK","Relocate 2025","9/22/2025","After",209000132728,"0","Riffle 0",23,336,224,183,">256",26700,"Boulder","SB1",0,0,0,0,"Trimble",""
51850,2808396.1,1266551.17,"7465.63","PITRCK","Relocate 2025","9/22/2025","After",226001370239,"0","Riffle 0",12,46,33,19,"45",76,"Gravel","VCG1",0,0,0,0,"Trimble",""
