"Point","E","N","Elevation","Code","SurveyID","Date","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Field_Movement","Hiding","Embedded","Buried","DetectionType","allNotes"
51526,2804571.55,1266587.83,"7454.77","PITRCK","Relocate 2025","9/17/2025","After",230000111593,"2A","Riffle 2A",32,165,66,54,"90",1192,"Cobble","SC1",0,0,0,0,"Trimble",""
51527,2804572.43,1266583.25,"7454.77","PITRCK","Relocate 2025","9/17/2025","After",230000111625,"2A","Riffle 2A",32,118,106,77,"128",1218,"Cobble","SC2",1,0,0,0,"Trimble",""
51528,2804573.9,1266577.73,"7454.55","PITRCK","Relocate 2025","9/17/2025","After",228000607518,"2A","Riffle 2A",23,86,66,38,"64",NA,"Gravel","VCG2",1,1,0,0,"Trimble",""
51529,2804574.36,1266572.85,"7454.57","PITRCK","Relocate 2025","9/17/2025","After",226001370201,"2A","Riffle 2A",12,26,16,7,"16",3.799,"Gravel","MG2",0,0,0,0,"Trimble",""
51530,2804575.7,1266567.93,"7455","PITRCK","Relocate 2025","9/17/2025","After",230000111707,"2A","Riffle 2A",32,151,98,58,"90",1186,"Cobble","SC1",1,0,0,0,"Trimble",""
51531,2804575.21,1266562.84,"7454.71","PITRCK","Relocate 2025","9/17/2025","After",226001370208,"2A","Riffle 2A",12,20,18,15,"22.6",5.638,"Gravel","CG1",1,0,0,0,"Trimble",""
51532,2804578.78,1266557.45,"7455.24","PITRCK","Relocate 2025","9/17/2025","After",230000111546,"2A","Riffle 2A",32,135,108,38,"128",1187,"Cobble","SC2",0,0,0,0,"Trimble",""
51533,2804579.14,1266552.09,"7455.34","PITRCK","Relocate 2025","9/17/2025","After",230000111682,"2A","Riffle 2A",32,110,97,52,"90",812,"Cobble","SC1",0,0,0,0,"Trimble",""
51534,2804547.84,1266545.88,"7455.24","PITRCK","Relocate 2025","9/17/2025","After",230000111506,"2A","Riffle 2A",32,110,108,41,"128",941,"Cobble","SC2",1,0,0,0,"Trimble",""
51535,2804546.57,1266552.02,"7455.03","PITRCK","Relocate 2025","9/17/2025","After",230000111526,"2A","Riffle 2A",32,119,101,43,"90",1036,"Cobble","SC1",0,0,0,0,"Trimble",""
51536,2804545.79,1266557.51,"7454.57","PITRCK","Relocate 2025","9/17/2025","After",230000111739,"2A","Riffle 2A",32,99,86,33,"90",557,"Cobble","SC1",0,0,0,0,"Trimble",""
51537,2804542.56,1266568.55,"7454.37","PITRCK","Relocate 2025","9/17/2025","After",230000111501,"2A","Riffle 2A",32,148,110,100,"128",2344,"Cobble","SC2",1,0,0,0,"Trimble",""
51538,2804542.72,1266573.21,"7454.14","PITRCK","Relocate 2025","9/17/2025","After",230000111727,"2A","Riffle 2A",32,165,125,60,"128",2087,"Cobble","SC2",0,0,0,0,"Trimble",""
51539,2804542.15,1266578.64,"7454.15","PITRCK","Relocate 2025","9/17/2025","After",230000111636,"2A","Riffle 2A",32,141,97,83,"128",2024,"Cobble","SC2",0,0,0,0,"Trimble",""
51540,2804541.33,1266583.83,"7454.31","PITRCK","Relocate 2025","9/17/2025","After",230000111685,"2A","Riffle 2A",32,110,96,55,"90",873,"Cobble","SC1",0,0,0,0,"Trimble",""
51541,2804539.31,1266589.18,"7454.3","PITRCK","Relocate 2025","9/17/2025","After",230000111665,"2A","Riffle 2A",32,83,68,48,"90",400,"Cobble","SC1",1,0,0,0,"Trimble",""
51542,2804538.5,1266595.16,"7454.51","PITRCK","Relocate 2025","9/17/2025","After",230000111632,"2A","Riffle 2A",32,124,96,53,"90",802,"Cobble","SC1",0,0,0,1,"Trimble",""
51543,2804536.62,1266599.88,"7454.41","PITRCK","Relocate 2025","9/17/2025","After",230000111622,"2A","Riffle 2A",32,122,66,42,"90",555,"Cobble","SC1",0,0,0,1,"Trimble",""
51550,2804263.27,1266611,"7454.83","PITRCK","Relocate 2025","9/17/2025","After",230000111598,"2B","Riffle 2B",32,142,104,54,"128",1046,"Cobble","SC2",0,0,0,0,"Trimble",""
51551,2804261.81,1266604.82,"7454.23","PITRCK","Relocate 2025","9/17/2025","After",230000111691,"2B","Riffle 2B",32,145,105,63,"128",1716,"Cobble","SC2",1,0,0,0,"Trimble",""
51552,2804260.5,1266599.08,"7453.23","PITRCK","Relocate 2025","9/17/2025","After",230000111724,"2B","Riffle 2B",32,169,128,69,"128",2436,"Cobble","SC2",1,0,0,0,"Trimble",""
51553,2804259.75,1266591.94,"7452.97","PITRCK","Relocate 2025","9/17/2025","After",230000111654,"2B","Riffle 2B",32,114,105,95,"128",1678,"Cobble","SC2",1,0,0,0,"Trimble",""
51554,2804257.62,1266586.93,"7452.95","PITRCK","Relocate 2025","9/17/2025","After",228000607523,"2B","Riffle 2B",23,112,60,45,"64",579,"Gravel","VCG2",0,1,0,0,"Trimble",""
51555,2804256.42,1266581.91,"7452.8","PITRCK","Relocate 2025","9/17/2025","After",230000111569,"2B","Riffle 2B",32,94,71,67,"90",638,"Cobble","SC1",1,0,0,0,"Trimble",""
51556,2804256.28,1266576.93,"7452.82","PITRCK","Relocate 2025","9/17/2025","After",230000111740,"2B","Riffle 2B",32,145,94,62,"90",1384,"Cobble","SC1",0,0,0,0,"Trimble",""
51557,2804255.44,1266572.8,"7452.93","PITRCK","Relocate 2025","9/17/2025","After",230000111680,"2B","Riffle 2B",32,131,112,71,"128",1468,"Cobble","SC2",1,0,0,0,"Trimble",""
51558,2804253.94,1266568.46,"7453.44","PITRCK","Relocate 2025","9/17/2025","After",230000111710,"2B","Riffle 2B",32,107,85,63,"90",830,"Cobble","SC1",0,0,0,0,"Trimble",""
51559,2804252.93,1266562.05,"7453.76","PITRCK","Relocate 2025","9/17/2025","After",230000111582,"2B","Riffle 2B",32,115,113,51,"90",1007,"Cobble","SC1",0,0,0,0,"Trimble",""
51560,2804252.04,1266557.51,"7453.78","PITRCK","Relocate 2025","9/17/2025","After",230000111630,"2B","Riffle 2B",32,115,98,59,"90",1042,"Cobble","SC1",1,0,0,0,"Trimble",""
51561,2804250.18,1266551.6,"7454.33","PITRCK","Relocate 2025","9/17/2025","After",230000111600,"2B","Riffle 2B",32,107,90,49,"90",709,"Cobble","SC1",0,0,0,0,"Trimble",""
51562,2804227.81,1266556.55,"7454.27","PITRCK","Relocate 2025","9/17/2025","After",230000111662,"2B","Riffle 2B",32,136,83,60,"90",1117,"Cobble","SC1",1,0,0,0,"Trimble",""
51563,2804229.92,1266563.65,"7453.82","PITRCK","Relocate 2025","9/17/2025","After",209000132723,"2B","Riffle 2B",23,207,204,91,"180",5526,"Cobble","LC1",0,0,0,0,"Trimble",""
51564,2804231.49,1266569.32,"7453.02","PITRCK","Relocate 2025","9/17/2025","After",230000111511,"2B","Riffle 2B",32,106,93,80,"90",1175,"Cobble","SC1",0,0,0,0,"Trimble",""
51565,2804232.45,1266574.84,"7452.67","PITRCK","Relocate 2025","9/17/2025","After",230000111613,"2B","Riffle 2B",32,136,112,43,"90",1002,"Cobble","SC1",0,1,0,0,"Trimble",""
51566,2804234.21,1266580.53,"7452.45","PITRCK","Relocate 2025","9/17/2025","After",226001370276,"2B","Riffle 2B",12,25,20,10,"16",5.391,"Gravel","MG2",0,0,0,1,"Trimble"," Approximate recap location."
51567,2804235.62,1266586,"7452.71","PITRCK","Relocate 2025","9/17/2025","After",230000111607,"2B","Riffle 2B",32,113,100,63,"90",1093,"Cobble","SC1",0,1,0,0,"Trimble",""
